Wahltermin,Titel,Vorname,Nachname,Jahrgang,Partei,Wahlkreis,Bundesland,Listenplatz
2009-09-27,,Feryal,Araz,1985,MLPD,,NW,7
2009-09-27,,Dirk,Arendt,1976,NPD,,MV,5
2009-09-27,,Dörthe,Armstroff,1958,NPD,209,RP,1
2009-09-27,,Holger-Michael,Arndt,1971,GRÜNE,108,,
2009-09-27,,Ingrid,Arndt-Brauer,1961,SPD,125,NW,10
2009-09-27,,Karin,Arnold,1947,Bündnis21/RRP,246,,
2009-09-27,,Ludger,Arnold,1954,SPD,,HE,42
2009-09-27,,Rainer,Arnold,1950,SPD,262,BW,10
2009-09-27,,Ludwig,Artmeyer,1965,GRÜNE,127,,
2009-09-27,,Christine,Aschenberg-Dugnus,1959,FDP,4,SH,4
2009-09-27,,Helma,Aßmann,1939,BüSo,,BB,3
2009-09-27,,Ferit,Atan,1955,MLPD,,BW,5
2009-09-27,,Artur Friedrich,Auernhammer,1963,CSU,,BY,31
2009-09-27,,Elisabeth,August,1950,DIE LINKE,,NW,21
2009-09-27,,Andreas,Augustin,1979,PIRATEN,,SL,7
2009-09-27,,Reiner,Aulenbacher,1957,MLPD,296,SL,1
2009-09-27,,Martin,Aulila,1954,BP,,BY,12
2009-09-27,,Peter,Aumer,1976,CSU,233,,
2009-09-27,,Hüseyin Kenan,Aydin,1962,DIE LINKE,117,,
2009-09-27,,Armin,Azima,1977,BüSo,20,,
2009-09-27,,Klaus Hermann,Baade,1936,NPD,55,HB,2
2009-09-27,,Safet,Babic,1981,NPD,204,RP,2
2009-09-27,,Thomas,Bach,1961,CDU,,HE,24
2009-09-27,,Iris,Bachmann,1947,GRÜNE,,HE,17
2009-09-27,,Sabrina,Bacholke,1981,Tierschutzpartei,,BE,4
2009-09-27,,Veronika,Backes,1956,CDU,,HE,36
2009-09-27,,Jürgen,Bader,1960,MLPD,20,HH,2
2009-09-27,,Lisa,Badum,1983,GRÜNE,236,BY,15
2009-09-27,,Dietrich Karl Ernst,Baecker,1937,PBC,,HB,1
2009-09-27,,Manfred,Bähr,1959,FDP,71,ST,3
2009-09-27,,Knut,Bänsch,1961,PIRATEN,,HE,8
2009-09-27,,Dorothee,Bär,1978,CSU,248,BY,7
2009-09-27,,Karl,Bär,1985,GRÜNE,224,BY,12
2009-09-27,,Peter,Baer,1934,,292,,
2009-09-27,,Annalena,Baerbock,1980,GRÜNE,64,BB,3
2009-09-27,,Sabine,Bätzing,1975,SPD,198,RP,6
2009-09-27,,Peter,Bäuerle,1951,MLPD,260,BW,7
2009-09-27,,Werner,Bäumler,1952,DIE LINKE,226,,
2009-09-27,,Daniel,Bahr,1976,FDP,130,NW,8
2009-09-27,,Gabriele,Bailey,1958,GRÜNE,112,,
2009-09-27,,Dieter,Balck,1941,RENTNER,,HH,1
2009-09-27,,Torsten,Balg,1971,ÖDP,,RP,17
2009-09-27,Dr. jur.,Michael,Balke,1954,,144,,
2009-09-27,,Peter Manfred,Balnat,1956,NPD,,HB,3
2009-09-27,,Regina Hildegard Käthe,Balzer,1949,MLPD,,SN,7
2009-09-27,,Gero Heinrich,Bangerter,1983,FDP,145,NW,30
2009-09-27,,Stefan,Bannert,1966,DIE LINKE,248,BY,18
2009-09-27,,Ulrich Gustav,Bannert,1950,REP,,BY,25
2009-09-27,,Robin,Baranski,1977,SPD,,NW,72
2009-09-27,,Heinz-Joachim,Barchmann,1950,SPD,52,NI,11
2009-09-27,,Thomas,Bareiß,1975,CDU,295,,
2009-09-27,,Rudolf Walter,Bargmann,1976,DVU,,HB,1
2009-09-27,,Doris,Barnett,1953,SPD,208,RP,3
2009-09-27,,Daniel Lutz,Barta,1954,FDP,,HH,7
2009-09-27,Dr.,Hans Peter,Bartels,1961,SPD,5,SH,6
2009-09-27,,Christian,Bartelt,1976,FDP,16,MV,4
2009-09-27,,Cornelia,Barth,1958,DIE LINKE,,HB,7
2009-09-27,,Edith,Barth,1935,SPD,,SL,29
2009-09-27,,Steven,Barth,1988,PIRATEN,,ST,2
2009-09-27,,Volker,Barth,1962,CDU,,BW,30
2009-09-27,,Klaus,Barthel,1955,SPD,224,BY,5
2009-09-27,,Norbert,Barthle,1952,CDU,269,,
2009-09-27,,Uwe,Bartholomäus,1972,DVU,,HH,3
2009-09-27,,Anna,Bartholomé,1949,MLPD,,RP,3
2009-09-27,,Sören,Bartol,1974,SPD,172,,
2009-09-27,Dr.,Dietmar,Bartsch,1958,DIE LINKE,13,MV,1
2009-09-27,,Bärbel,Bas,1968,SPD,116,NW,35
2009-09-27,,Lothar,Baseler,1935,NPD,22,HH,3
2009-09-27,,Michael,Bathon,1961,CDU,,HE,37
2009-09-27,,Annegret,Bauch,1958,CDU,,HE,39
2009-09-27,,Matthias,Bauch,1979,BP,,BY,8
2009-09-27,,Anneliese,Bauer,1924,Volksabstimmung,,BW,8
2009-09-27,,Emil,Bauer,1953,MLPD,252,BY,4
2009-09-27,,Erich,Bauer,1954,FDP,234,BY,53
2009-09-27,,Sebastian-Michael,Bauer,1987,PIRATEN,,BW,3
2009-09-27,,Andreas,Baum,1978,PIRATEN,,BE,3
2009-09-27,,Erika,Baum,1925,DKP,,BE,4
2009-09-27,,Helmut Günter,Baumann,1947,CDU,165,,
2009-09-27,Dr.,Albert,Baumgärtner,1955,NPD,279,,
2009-09-27,,Alfons,Baumgartner,1944,BP,,BY,9
2009-09-27,,Roman,Baumgartner,1982,CDU,,BW,21
2009-09-27,,Jens,Baur,1979,NPD,161,,
2009-09-27,,Yusuf,Bayrak,1963,,83,,
2009-09-27,Dr.,Arthur,Bechert,1964,CSU,,BY,55
2009-09-27,,Birgit,Beciri,1962,Tierschutzpartei,,HE,8
2009-09-27,,Ernst-Reinhard,Beck,1945,CDU,289,,
2009-09-27,,Jürgen,Beck,1955,,86,,
2009-09-27,,Marieluise,Beck,1952,GRÜNE,55,HB,1
2009-09-27,,Stefanie,Beck,1970,DIE LINKE,209,RP,5
2009-09-27,,Tobias,Beck,1985,FDP,,RP,16
2009-09-27,,Volker,Beck,1960,GRÜNE,95,NW,2
2009-09-27,,Claudia,Beck geb. Krauß,1973,GRÜNE,297,,
2009-09-27,,Alexander,Becker,1982,CDU,,RP,39
2009-09-27,,Bernd,Becker,1958,SPD,,RP,31
2009-09-27,,Burkhard,Becker,1954,NPD,137,,
2009-09-27,,Dirk,Becker,1966,SPD,136,NW,33
2009-09-27,,Kurt,Becker,1953,SPD,,RP,28
2009-09-27,,Christa Lydia,Becker-Lettow,1959,SPD,,NW,66
2009-09-27,,Bert,Beckmann,1958,MLPD,,MV,4
2009-09-27,,Uwe Karl,Beckmeyer,1949,SPD,56,HB,1
2009-09-27,,Jochen Heiner,Beekhuis,1977,SPD,,NI,42
2009-09-27,,Maximilian,Beer,1966,CSU,,BY,54
2009-09-27,,Kirsten,Beetz,1961,CDU,,RP,36
2009-09-27,,Peter,Befeldt,1955,SPD,,NI,32
2009-09-27,,Jörg,Behlen,1968,FDP,172,HE,17
2009-09-27,,Cornelia,Behm,1951,GRÜNE,62,BB,1
2009-09-27,,Martin,Behnke,1954,DIE LINKE,106,,
2009-09-27,,Hans-Peter,Behrens,1961,GRÜNE,273,,
2009-09-27,,Heidemarie Elisabeth,Behrens,1954,DIE LINKE,,HB,5
2009-09-27,,Herbert,Behrens,1954,DIE LINKE,35,NI,6
2009-09-27,,Manfred,Behrens,1956,CDU,68,ST,8
2009-09-27,,Matthias,Behrens,1972,NPD,36,NI,2
2009-09-27,,Andreas,Beier,1971,,291,,
2009-09-27,Dr.,Guido,Beier,1967,FDP,60,BB,3
2009-09-27,,Klaus,Beier,1966,NPD,64,BB,1
2009-09-27,,Mirko,Beier,1975,NPD,152,SN,6
2009-09-27,,Veronika Maria,Bellmann,1960,CDU,162,SN,7
2009-09-27,,Michael,Belzner,1948,REP,,BW,8
2009-09-27,,Birgitt,Bender,1956,GRÜNE,259,BW,7
2009-09-27,,Mario,Bender,1966,DIE LINKE,,SL,4
2009-09-27,,Anneliese,Bendigkeit,1943,CDU,,BW,26
2009-09-27,,Edgar,Benedetto Di,1958,DIE LINKE,29,NI,32
2009-09-27,,Klaus Uwe,Benneter,1947,SPD,80,BE,5
2009-09-27,,Felix,Bensmann,1985,FDP,,NI,28
2009-09-27,,Konrad,Bentz,1920,NPD,170,,
2009-09-27,,Josef,Benz,1953,FDP,273,BW,28
2009-09-27,,Karl Hans August,Benz,1938,Bündnis21/RRP,,BY,9
2009-09-27,,Markus,Benz,1955,DIE VIOLETTEN,281,BW,1
2009-09-27,,Patrick,Berberich,1979,CDU,,RP,29
2009-09-27,,Miro,Berbig,1964,DIE LINKE,8,,
2009-09-27,Dr.,Axel,Berg,1959,SPD,218,BY,17
2009-09-27,,Ute,Berg,1953,SPD,138,NW,17
2009-09-27,,Lars,Bergen,1975,CSU,,BY,63
2009-09-27,,Cornelia,Berger,1956,NPD,76,,
2009-09-27,,Frank,Berger,1976,FDP,255,BY,52
2009-09-27,,Milan,Berger,1978,PIRATEN,245,,
2009-09-27,Dr. Dr.,Wolfgang Georg Justus,Berger,1941,,212,,
2009-09-27,,Volker,Bergler,1968,BP,,BY,13
2009-09-27,,Jutta,Bergmoser,1961,GRÜNE,128,NW,27
2009-09-27,Dr.,Christoph,Bergner,1948,CDU,73,ST,1
2009-09-27,,Christian,Berisha,1967,NPD,38,,
2009-09-27,,Jutta,BEghof,1961,GRÜNE,246,BY,19
2009-09-27,,Christopher,Bernd,1986,PBC,,RP,6
2009-09-27,,Wolfgang Herbert Josef,Berndt,1949,DIE LINKE,232,,
2009-09-27,,Marc,Bernhard,1972,CDU,,BW,9
2009-09-27,,Martin,Bernmeiser,1952,DIE VIOLETTEN,,BY,16
2009-09-27,,Wolfgang,Berns,1948,FDP,173,HE,10
2009-09-27,,Florian,Bernschneider,1986,FDP,51,NI,7
2009-09-27,,Jürgen Heinrich,Bernsen,1963,,77,,
2009-09-27,,Patrick,Bernstein,1973,NPD,221,,
2009-09-27,,Ute,Bertram,1961,CDU,,NI,49
2009-09-27,,Karl-Heinz,Besemann,1950,DVU,,NI,2
2009-09-27,,Harald,Bestehorn,1962,NPD,239,,
2009-09-27,,Markus,Bestgen,1964,FDP,98,NW,27
2009-09-27,,Horst,Bethge,1935,DIE LINKE,,HH,4
2009-09-27,,Cornelia,Bethke,1966,SPD,,HE,35
2009-09-27,,Lorenz Gösta,Beutin,1978,DIE LINKE,10,,
2009-09-27,,Christian,Beyer,1974,SPD,232,BY,27
2009-09-27,,Lars,Beyer,1969,NPD,,BB,9
2009-09-27,,Peter,Beyer,1970,CDU,106,NW,53
2009-09-27,,Stephan,Beyer,1985,,192,,
2009-09-27,,Stephan,Beyer,1985,PIRATEN,,TH,8
2009-09-27,,Bettina,Bieder,1980,NPD,81,,
2009-09-27,,Christian,Bieler,1985,NPD,198,,
2009-09-27,,KLaus,Biener,1959,GRÜNE,,MV,8
2009-09-27,,Xenia,Biereichelt,1989,BüSo,153,SN,6
2009-09-27,,Arnhild,Biesenbach,1955,CDU,,NI,39
2009-09-27,,Hans-Dieter,Biester,1945,RENTNER,,HH,2
2009-09-27,,Michael,Bihler,1979,CSU,,BY,48
2009-09-27,,Steffen,Bilger,1979,CDU,265,,
2009-09-27,,Rainer,Biller,1965,NPD,245,,
2009-09-27,,Karin,Binder,1957,DIE LINKE,271,BW,3
2009-09-27,,Martin,Binder,1980,CDU,,RP,16
2009-09-27,,Sascha,Binder,1983,SPD,263,BW,29
2009-09-27,,Lothar,Binding,1950,SPD,274,BW,14
2009-09-27,,Peter,Bing,1951,RENTNER,,SH,2
2009-09-27,,Clemens,Binninger,1962,CDU,260,,
2009-09-27,,Katharina,Birk,1967,DIE LINKE,,BW,19
2009-09-27,,Matthias W.,Birkwald,1961,DIE LINKE,95,NW,10
2009-09-27,,Florian,Bischof,1977,PIRATEN,,BE,1
2009-09-27,,Joachim,Bischoff,1944,DIE LINKE,19,,
2009-09-27,,Peter,Bitsch,1950,REP,,HE,5
2009-09-27,Dr.,Günther Wolfgang,Bittel,1953,MLPD,,NW,23
2009-09-27,,Thomas,Bläsche,1978,FDP,205,RP,10
2009-09-27,,Robert,Bläsing,1982,FDP,22,HH,11
2009-09-27,,Kurt Jürgen,Blank,1970,NPD,257,,
2009-09-27,,Bernhard,Blankenheim,1951,NPD,96,,
2009-09-27,,Bernd,Blech,1961,REP,142,,
2009-09-27,,Thomas,Blechschmidt,1965,,221,,
2009-09-27,Dr.,Wolfgang,Blender,1955,FDP,,RP,26
2009-09-27,,Peter,Bleser,1952,CDU,201,RP,4
2009-09-27,,Stephan,Bliemel,1978,SPD,12,MV,5
2009-09-27,Prof. Dr.,Frank,Bliss,1956,GRÜNE,199,,
2009-09-27,,Detlev,Blitz,1958,SPD,187,HE,18
2009-09-27,,Günter,Blocks,1958,DIE LINKE,126,,
2009-09-27,Dr.,Helmut,Blöcker,1945,GRÜNE,51,,
2009-09-27,,Marion Else,Blohm,1953,DVU,,HB,3
2009-09-27,,Frank,Blome,1973,NPD,41,,
2009-09-27,,Barbara,Blotenberg,1960,GRÜNE,144,,
2009-09-27,,Heidrun,Bluhm,1958,DIE LINKE,17,MV,3
2009-09-27,,Claudia,Blum,1968,SPD,175,HE,15
2009-09-27,,Klaus,Blume,1944,Bündnis21/RRP,226,,
2009-09-27,,Sebastian,Blumenthal,1974,FDP,5,SH,3
2009-09-27,,Volker,Blumentritt,1946,SPD,194,TH,6
2009-09-27,,Jürgen,Blumer,1958,MLPD,117,,
2009-09-27,,Steffen,Bockhahn,1978,DIE LINKE,14,,
2009-09-27,,Claudia,Bögel,1961,FDP,125,NW,17
2009-09-27,,Melanie,Böger,1971,DIE LINKE,,NI,9
2009-09-27,,Werner,Böhler,1964,SPD,137,NW,41
2009-09-27,Dr.,Dorothea,Böhm,1962,FAMILIE,,NW,2
2009-09-27,,Walter,Böhm,1959,NPD,219,,
2009-09-27,Prof. Dr.,Maria,Böhmer,1950,CDU,208,RP,2
2009-09-27,,Helmut,Böhmler,1952,MLPD,103,,
2009-09-27,,Georg,Böhner,1957,DIE LINKE,237,,
2009-09-27,,Björn Lars,Böhning,1978,SPD,84,,
2009-09-27,,Manfred,Börm,1950,NPD,45,NI,9
2009-09-27,,Wolfgang,Börnsen,1942,CDU,1,SH,4
2009-09-27,,Peter,Börs,1944,NPD,57,,
2009-09-27,,Ralph,Boes,1957,,76,,
2009-09-27,,Jorg,Böttcher,1958,,48,,
2009-09-27,,Süntje,Böttcher,1981,PIRATEN,,SL,8
2009-09-27,,Viktor,Böttcher,1952,SPD,,HE,34
2009-09-27,Dr.,Martin,Böttger,1947,GRÜNE,166,,
2009-09-27,,Karl-Heinz,Bok,1951,ÖDP,264,BW,11
2009-09-27,,Gerd,Bollmann,1947,SPD,142,,
2009-09-27,,Alexander,Bonde,1975,GRÜNE,283,BW,8
2009-09-27,,Keno,Borde,1982,SPD,26,NI,28
2009-09-27,,Klaus-Peter,Borgwardt,1953,MLPD,,BW,1
2009-09-27,,Sonja Angela,Borgwardt,1951,MLPD,,NW,24
2009-09-27,,Helmut,Born,1952,DIE LINKE,107,,
2009-09-27,,Markus,Born,1982,NPD,106,,
2009-09-27,,Thomas,Born,1983,BüSo,,SN,10
2009-09-27,,Raimund Frank,Borrmann,1960,NPD,15,,
