Wahltermin,Titel,Vorname,Nachname,Jahrgang,Partei,Wahlkreis,Bundesland,Listenplatz
2009-09-27,,Adolf Wilhelm,Breitmeier,1937,ADM,186,,
2009-09-27,,Hermann,Brem,1961,GRÜNE,221,BY,16
2009-09-27,,Klaus,Bremer,1952,MLPD,,HE,4
2009-09-27,Dr.,Gerd,Brenner,1949,GRÜNE,110,,
2009-09-27,,Ernst,Brenning,1952,CDU,,BE,10
2009-09-27,,Harald,Bresch,1962,,67,,
2009-09-27,,Frank,Bresonik,1969,FAMILIE,,NW,11
2009-09-27,,Eveline,Breyer,1982,CDU,,RP,38
2009-09-27,Dr.,Andreas,Brie,1950,DIE LINKE,66,,
2009-09-27,,Ralph,Brinkhaus,1968,CDU,132,NW,45
2009-09-27,,Bernhard,Brinkmann,1952,SPD,49,NI,22
2009-09-27,,Rüdiger,Brocke von,1957,SPD,,SH,18
2009-09-27,,Benjamin,Brodnicki,1986,DVU,,HB,5
2009-09-27,,Bernd,Brodtrück,1970,BüSo,,SN,8
2009-09-27,,Edith,Brömsen,1959,DIE VIOLETTEN,,BY,10
2009-09-27,,Dieter Manfred,Brose,1943,NPD,61,BB,10
2009-09-27,,Martin,Broziat,1962,FDP,12,,
2009-09-27,,Andreas,Brückner,1968,,66,,
2009-09-27,,Rainer,Brüderle,1945,FDP,206,RP,1
2009-09-27,,Norbert,Brüggemann,1975,FDP,32,NI,25
2009-09-27,,Regine,Brüggemann,1956,DIE LINKE,,HH,2
2009-09-27,,Klaus-Dieter,Brügmann,1951,DIE LINKE,7,,
2009-09-27,,Monika Minna Marie,Brüning,1951,CDU,,NI,31
2009-09-27,,Peter Klaus,Brüsemeister,1966,DIE LINKE,234,BY,23
2009-09-27,,Wolfgang,Bruhn,1961,NPD,99,,
2009-09-27,,Peter Josef,Brumann,1942,FAMILIE,,NW,10
2009-09-27,,Doris,Brummer,1960,CDU,,BW,35
2009-09-27,,Sabine,Brunke-Reubold,1969,GRÜNE,45,NI,9
2009-09-27,,Angelika,Brunkhorst,1955,FDP,29,NI,4
2009-09-27,,Josef,Brunner,1950,Freie Union,227,,
2009-09-27,Dr.,Karl Heinz,Brunner,1953,SPD,255,BY,41
2009-09-27,,Eckhard Karl Alfred,Bruns,1944,Bündnis21/RRP,,NI,6
2009-09-27,,Michael,Bruns,1973,DIE LINKE,147,NW,16
2009-09-27,,Jörg,Brunschweiger,1979,DIE VIOLETTEN,,BY,5
2009-09-27,,Rosi,Brunschweiger,1951,DIE VIOLETTEN,,BY,12
2009-09-27,,Raffaela,Bubendorfer,1988,FDP,213,BY,20
2009-09-27,,Klaus,Bucher,1968,FDP,290,BW,32
2009-09-27,,Christine,Buchholz,1971,DIE LINKE,185,HE,3
2009-09-27,,Conrad,Buchholz,1982,FDP,180,HE,18
2009-09-27,,Doris,Buchholz,1959,FDP,,SL,6
2009-09-27,,Daniel,Buchmann,1981,BüSo,85,BE,2
2009-09-27,,Sven,Buchmann,1979,,83,,
2009-09-27,Prof. Dr.,Klaus,Buchner,1941,ÖDP,,BE,3
2009-09-27,,Enrico,Buchs,1976,FDP,66,,
2009-09-27,,Bettina Dorothee,Buchta,1960,MLPD,,HB,4
2009-09-27,,Josef,Buck,1961,MLPD,275,,
2009-09-27,,Andreas,Büchner,1982,NPD,108,NW,12
2009-09-27,,Manfred,Büddemann,1951,DIE LINKE,111,,
2009-09-27,,Katharina,Büdel,1951,FDP,,RP,29
2009-09-27,,Tim,Bühner,1978,DIE LINKE,,NW,22
2009-09-27,,Marco,Bülow,1971,SPD,143,NW,55
2009-09-27,,Hans-Ulrich,Bünger,1940,DIE LINKE,285,,
2009-09-27,,Andreas,Büschleb,1972,NPD,44,,
2009-09-27,,Erika-Marika,Büsing,1964,SPD,,HB,5
2009-09-27,,Vesna,Buljevic,1954,MLPD,,NW,8
2009-09-27,,Peter,Bulke,1939,REP,,BW,12
2009-09-27,,Eva,Bulling-Schröter,1956,DIE LINKE,217,BY,2
2009-09-27,,Edelgard,Bulmahn,1951,SPD,43,NI,2
2009-09-27,,Andreas,Bummel,1976,FDP,184,HE,13
2009-09-27,Dr.,Martina,Bunge,1951,DIE LINKE,12,MV,2
2009-09-27,,Ursula,Burchardt,1954,SPD,144,NW,27
2009-09-27,,Ernst,Burgbacher,1949,FDP,285,BW,3
2009-09-27,Dr.,Thomas,Burger,1970,SPD,,BY,53
2009-09-27,,Max,Burger-Heidger,1954,GRÜNE,285,,
2009-09-27,Dr.,Christian,Burholt,1972,CDU,76,BE,8
2009-09-27,,Karin,Burkart,1950,GRÜNE,296,SL,2
2009-09-27,,Boris,Burkert,1961,GRÜNE,229,,
2009-09-27,,Martin,Burkert,1964,SPD,245,BY,13
2009-09-27,,Karl-Heinz,Burkhardt,1939,DVU,,BE,2
2009-09-27,,Franz Paul,Burkowski,1930,PBC,,HB,4
2009-09-27,,Erich Karl,Burmeister,1953,DIE LINKE,122,,
2009-09-27,,Andreas,Burmester,1978,SPD,,NI,41
2009-09-27,,Thomas Wolfgang,Bursian,1959,FDP,,RP,24
2009-09-27,,Yani,Bursukis,1945,SPD,,HE,28
2009-09-27,,Walter,Busch-Hübenbecker,1951,DIE LINKE,186,,
2009-09-27,,Marco,Buschmann,1977,FDP,124,NW,20
2009-09-27,,Boris-Georg,Bussche-Haddenhausen Freiherr von dem,1966,FDP,38,NI,22
2009-09-27,,Windfried,Bußmann,1951,RENTNER,,NW,3
2009-09-27,,Brigitte,Butenschön,1949,MLPD,,NI,7
2009-09-27,,Cajus Julius,Caesar,1951,CDU,136,NW,20
2009-09-27,,Sylvia,Canel,1958,FDP,,HH,2
2009-09-27,,Immacolata,Caravetta Glosemeyer,1965,SPD,,NI,43
2009-09-27,,Hans-Werner,Carlhoff,1947,CDU,,BW,38
2009-09-27,,Richard Hermann,Carls,1931,DVU,,NI,3
2009-09-27,,Christian,Carstensen,1973,SPD,22,HH,5
2009-09-27,,Olaf,Caspary,1967,DVU,,BE,3
2009-09-27,Dr.,Lars,Castellucci,1974,SPD,277,BW,22
2009-09-27,,nicole,Cayrol,1980,SPD,,SL,28
2009-09-27,,Mario,Christen,1953,ÖDP,,BE,1
2009-09-27,,Rainer Helmar,Christiansen,1945,,80,,
2009-09-27,,Heiner Leslie Otto,Christinck,1946,FAMILIE,114,NW,3
2009-09-27,,Stefan,Christoph,1988,GRÜNE,234,BY,22
2009-09-27,,Rainer,Ciechoradzki,1965,ÖDP,,TH,5
2009-09-27,,Volker,Cigelski,1953,NPD,249,,
2009-09-27,,Antje,Claaßen,1968,DIE LINKE,295,,
2009-09-27,,Bernhard,Clasen,1957,DIE LINKE,110,,
2009-09-27,,Roland,Claus,1954,DIE LINKE,74,ST,4
2009-09-27,,Claus Christian,Claussen,1961,CDU,,SH,14
2009-09-27,,Stefan Georg,Clemens,1959,FAMILIE,,BY,12
2009-09-27,,Christine,Coelho,1964,DIE VIOLETTEN,,BW,4
2009-09-27,,Ingrid,Cölsch,1954,DIE VIOLETTEN,80,BE,1
2009-09-27,,Gitta,Connemann,1964,CDU,26,NI,12
2009-09-27,,Gabriele Maria,Conrad,1960,MLPD,271,,
2009-09-27,,Anna,Conrads,1979,DIE LINKE,,NW,19
2009-09-27,,Michael,Conz,1966,FDP,258,BW,17
2009-09-27,,Florian,Cordes,1975,NPD,29,,
2009-09-27,,Walter,Corné de,1944,Volksabstimmung,,NW,6
2009-09-27,,Eva-Maria,Corr,1956,FAMILIE,,RP,3
2009-09-27,,Lino,Coscia,1988,,41,,
2009-09-27,,Thorsten,Crämer,1975,NPD,139,,
2009-09-27,,Viola,Cramon-Taubadel von,1970,GRÜNE,53,NI,7
2009-09-27,,Claus,Cremer,1979,NPD,141,NW,1
2009-09-27,,Ruth,Cremer-Ricken,1958,GRÜNE,288,,
2009-09-27,,Petra,Crone,1950,SPD,150,NW,12
2009-09-27,,Corinna,Croy,1982,DIE LINKE,240,BY,17
2009-09-27,,Irfan,Cüre,1952,DIE LINKE,,HH,6
2009-09-27,,Jaroslav,Curlisca,1953,BP,,BY,15
2009-09-27,,Dieter,Cwielong,1957,DIE LINKE,3,,
2009-09-27,,Mechthild,Czapp,1982,PIRATEN,,NW,4
2009-09-27,,Michael,Czech,1955,DKP,,BE,10
2009-09-27,,Eberhard,Czichon,1930,DKP,,BE,11
2009-09-27,,Heinz,Dabrock,1956,FAMILIE,299,SL,1
2009-09-27,,Margit,Dänzer,1955,DIE VIOLETTEN,,BW,6
2009-09-27,,Karl,Däschner,1954,NPD,278,,
2009-09-27,,Sevim,Dagdelen,1975,DIE LINKE,141,NW,7
2009-09-27,,Monika,Dahl,1965,DIE LINKE,98,NW,17
2009-09-27,,Benjamin,Dahlhoff,1978,GRÜNE,,HE,18
2009-09-27,,Thomas,Dahlmann,1960,SPD,,NW,60
2009-09-27,,Janosch,Dahmen,1981,GRÜNE,140,,
2009-09-27,Dr.,Claudia,Dalbert,1954,GRÜNE,73,ST,3
2009-09-27,,Bernhard,Daldrup,1956,SPD,131,NW,18
2009-09-27,,Michael,Dambacher,1979,CDU,,BW,39
2009-09-27,,Adolf,Dammann,1939,NPD,31,,
2009-09-27,Dr.,Peter,Danckert,1940,SPD,63,BB,3
2009-09-27,,Bernd,Dannemann,1944,FWD,,BB,4
2009-09-27,,Britta,Dassler,1964,FDP,242,BY,30
2009-09-27,,Helga,Daub,1942,FDP,149,NW,15
2009-09-27,,Gwenn Patrick,Dauen,1980,PIRATEN,,HB,2
2009-09-27,,Horst,Dauter,1943,,51,,
2009-09-27,,Leo,Dautzenberg,1950,CDU,90,NW,54
2009-09-27,,Elfriede Katharina,Daxlberger,1941,Bündnis21/RRP,,BY,8
2009-09-27,,Diego,De Filippi,1978,Tierschutzpartei,,BW,4
2009-09-27,,Christa,Debrand,1944,FAMILIE,,SL,4
2009-09-27,,Cornelia,Debus,1958,FDP,25,NI,14
2009-09-27,,Thomas Michael Matthias,Decker,1972,CDU,,NI,41
2009-09-27,,Wilhelm,Dedecke,1960,DIE LINKE,92,,
2009-09-27,,Klaus-Peter,Dehde,1959,SPD,,NI,34
2009-09-27,Dr.,Jörg-Diether,Dehm-Desoi,1950,DIE LINKE,,NI,1
2009-09-27,,Ekin,Deligöz,1971,GRÜNE,255,BY,5
2009-09-27,,Armin,Demele,1962,ÖDP,266,,
2009-09-27,,Erika,Demuth,1982,CDU,,RP,33
2009-09-27,,Hans Günter,Dennhoven,1950,,110,,
2009-09-27,,Christine,Denz,1948,GRÜNE,276,,
2009-09-27,,Theodor,Denzer,1951,FDP,,BY,57
2009-09-27,,Paul,Derabin,1988,CDU,,NI,37
2009-09-27,,Zeynep,Dere,1964,DIE LINKE,,NW,15
2009-09-27,,Tilla-Louise,Deter,1961,FDP,283,BW,23
2009-09-27,,Knut Matthias,Dethlefsen,1969,SPD,,SH,14
2009-09-27,,Wiltrud,Dettmer,1951,,67,,
2009-09-27,,Rudolf,Dettweiler,1950,,81,,
2009-09-27,,Michael,Detzler,1954,CDU,,SL,18
2009-09-27,,Holger,Deubel,1980,NPD,202,,
2009-09-27,,Andreas,Deuschle,1979,CDU,,BW,22
2009-09-27,,Ulrich,Deuschle,1952,REP,,BW,2
2009-09-27,,Paul,Deutsch,1951,MLPD,51,NI,3
2009-09-27,,Reiner Peter,Deutschmann,1953,FDP,157,SN,4
2009-09-27,,Arno,Dick,1962,SPD,,NI,60
2009-09-27,,Veronika,Dicke,1967,SPD,,SH,20
2009-09-27,Dr.,Charlotte,Didlap,1965,,30,,
2009-09-27,,Jens,Diebler,1966,FAMILIE,,BY,13
2009-09-27,,Gudrun,Diebold,1956,ÖDP,292,,
2009-09-27,,Jan,Dieckmann,1980,,102,,
2009-09-27,,Mali,Dieckmann,1984,,94,,
2009-09-27,,Sandro,Dierbeck,1975,FDP,162,,
2009-09-27,,Norman,Dießner,1971,GRÜNE,176,HE,10
2009-09-27,,Edeltraud,Dietert,1953,,212,,
2009-09-27,,Klaus,Dietrich,1936,NPD,186,,
2009-09-27,,Matthias,Dietrich,1971,ÖDP,290,BW,6
2009-09-27,,Rolf,Dietrich,1944,NPD,,ST,7
2009-09-27,,Christina,Diggance,1966,DIE VIOLETTEN,,BW,3
2009-09-27,,Esther,Dilcher,1965,SPD,,HE,27
2009-09-27,,Dirk,Dillschneider,1974,CDU,,SL,6
2009-09-27,,Michael,Dimitrov,1973,FDP,108,NW,56
2009-09-27,,Erkan,Dinar,1980,DIE LINKE,241,,
2009-09-27,,Konrad Willibald,Dippel,1971,,235,,
2009-09-27,,Alfred,Dirks,1951,DIE LINKE,,NI,23
2009-09-27,,Frank Holger Kurt,Ditsche,1966,,78,,
2009-09-27,,Heidrun,Dittrich,1958,DIE LINKE,43,NI,3
2009-09-27,Dr.,Bijan,Djir-Sarai,1976,FDP,109,NW,13
2009-09-27,Dr.,Larissa,Dloczik,1967,ÖDP,,BE,4
2009-09-27,,Josef,Dobelmann,1957,GRÜNE,33,,
2009-09-27,,Wolfgang,Dobler,1954,FDP,295,BW,26
2009-09-27,,Alexander,Dobrindt,1970,CSU,226,BY,5
2009-09-27,,Wolfgang,Döcke,1954,FDP,69,,
2009-09-27,,Sebastian,Döhring,1980,NPD,,BE,10
2009-09-27,Prof. Dr.,Martina,Dören,1959,SPD,,BE,12
2009-09-27,,Thomas,Dörflinger,1965,CDU,288,,
2009-09-27,,Patrick,Döring,1973,FDP,43,NI,5
2009-09-27,,Waltraud,Döring,1952,ÖDP,,TH,9
2009-09-27,,Wilfried,Döring,1953,ÖDP,,TH,13
2009-09-27,,Axel,Dörken,1967,,132,,
2009-09-27,,Peter J.,Dörken,1938,Bündnis21/RRP,215,BY,14
2009-09-27,,Helmut,Dörlitz,1963,DVU,,HH,4
2009-09-27,,Martin,Dörmann,1962,SPD,94,NW,54
2009-09-27,,Katja,Dörner,1976,GRÜNE,97,NW,5
2009-09-27,,Uwe,Dörnhöfer,1969,SPD,215,BY,44
2009-09-27,,Joachim,Dörr,1968,SPD,,SL,22
2009-09-27,,Vera Nadja,Döscher,1972,FDP,,SN,5
2009-09-27,,Marie-Luise,Dött,1953,CDU,118,NW,9
2009-09-27,,Norbert,Dohmen,1951,GRÜNE,,NW,32
2009-09-27,,Helmut-Hartwig,Doll,1948,DIE LINKE,31,,
2009-09-27,,Pauli,Doll,1956,BP,226,,
2009-09-27,,Norbert,Domes,1950,DIE LINKE,169,,
2009-09-27,,Dennis,Dormuth,1980,NPD,130,,
2009-09-27,,Hubert,Dorn,1956,BP,,BY,11
2009-09-27,,Bernd,Dorst,1950,,241,,
2009-09-27,,Horst,Dotten,1957,MLPD,120,,
2009-09-27,,Thomas,Dotzler,1965,BP,236,BY,6
2009-09-27,,Alexander Ewald,Drage van,1980,REP,,BY,13
2009-09-27,,Wolf-Henry,Dreblow,1958,FDP,74,ST,6
2009-09-27,,Jochen,Dreetz,1956,GRÜNE,74,ST,6
2009-09-27,,Werner,Dreibus,1947,DIE LINKE,180,HE,4
2009-09-27,Dr.,Artur,Dreischer,1928,Volksabstimmung,,BW,1
2009-09-27,Dr.,Ulrich,Drerup,1951,CDU,,SH,22
2009-09-27,,Max Jürgen,Drescher,1968,FDP,,RP,27
2009-09-27,Dr.,Carl-Christian,Dressel,1970,SPD,238,BY,19
2009-09-27,,Hans-Joachim,Drewes,1936,Bündnis21/RRP,,HB,3
2009-09-27,,Gerhard,Drexler,1964,FDP,227,BY,15
2009-09-27,,Heidi,Drinkard,1946,NPD,262,,
2009-09-27,,Klaus Willy,Drinkmann,1937,RENTNER,,NW,8
2009-09-27,,Waltraud Lotte,Drinkmann,1954,RENTNER,,NW,11
2009-09-27,,Elvira,Drobinski-Weiß,1951,SPD,284,BW,11
2009-09-27,,Ute Regina,Drothler,1969,ÖDP,222,BY,14
2009-09-27,,Kai-Uwe,Ducke,1975,BüSo,166,NW,2
2009-09-27,,Wolfgang Georg,Duda,1962,NPD,118,NW,16
2009-09-27,,Garrelt,Duin,1968,SPD,25,NI,1
2009-09-27,,Angelica,Dullinger,1960,SPD,226,BY,26
2009-09-27,,Andrea Brigitte,Dumberger,1957,MLPD,,BY,8
2009-09-27,,Klaus,Dumberger,1964,MLPD,218,BY,1
2009-09-27,,nina,Dusper,1975,MLPD,,NW,26
2009-09-27,Dr.,Kurt Carlos,Duwe,1951,FDP,24,HH,3
2009-09-27,,Mechthild,Dyckmans,1950,FDP,169,HE,5
2009-09-27,,Thomas,Dyhr,1958,GRÜNE,60,BB,5
2009-09-27,,Klaus-Peter,Eberhard,1962,FDP,8,SH,5
2009-09-27,,Dagmar,Eberhard-Forschner,1953,MLPD,108,,
2009-09-27,Dr.,Christian,Eberl,1954,FDP,53,,
2009-09-27,,Johann,Eberle,1948,BP,,BY,16
2009-09-27,,Dieter,Ebert,1955,REP,,BW,16
2009-09-27,,Harald,Ebner,1964,GRÜNE,268,BW,12
2009-09-27,,Jutta,Eckenbach,1952,CDU,120,NW,30
2009-09-27,,Michael,Eckert,1981,,284,,
2009-09-27,,René,Eckert van,1987,SPD,,BY,47
2009-09-27,,Hannelore,Eckhardt,1954,SPD,,HE,22
2009-09-27,,Herbert,Eckler,1931,BüSo,,NW,5
2009-09-27,,Sebastian,Edathy,1969,SPD,41,NI,15
2009-09-27,,Lars Oliver,Effertz,1978,FDP,92,NW,40
2009-09-27,,Jürgen,Eggers,1957,DIE LINKE,46,,
2009-09-27,,Ingo,Egloff,1956,SPD,23,HH,3
2009-09-27,,Hasso,Ehinger,1940,DIE LINKE,267,,
2009-09-27,,Hans-Joachim,Ehnes,1956,DIE LINKE,242,BY,10
2009-09-27,,Hans-Werner,Ehrenberg,1952,FDP,148,NW,23
2009-09-27,,Robert,Ehrhardt,1982,REP,,SN,3
2009-09-27,,Ewald,Ehrl,1961,NPD,234,,
2009-09-27,,Martina,Ehrlich,1965,SPD,,RP,19
2009-09-27,,Siegmund,Ehrmann,1952,SPD,115,NW,53
2009-09-27,,Bernd,Ehrreich,1972,NPD,299,,
2009-09-27,,Ulrich,Eichhorst,1946,SPD,,NI,39
2009-09-27,,Martin,Eichler,1968,ÖDP,,BY,15
2009-09-27,,Rainer Hans,Eichler,1950,REP,,SN,9
2009-09-27,,Franziska,Eichstädt-Bohlig,1941,GRÜNE,87,,
2009-09-27,,Hermann Josef Jupp,Eicker,1949,MLPD,,NW,9
2009-09-27,,Andreas,Eickmeier,1954,FDP,135,NW,32
2009-09-27,,Andreas,Eifler,1955,MLPD,196,TH,1
2009-09-27,,Manuela,Eifler,1957,MLPD,,TH,4
2009-09-27,,Ellen,Eigemeier,1970,ÖDP,,RP,4
2009-09-27,,Helmut,Eigen,1955,DIE LINKE,143,NW,14
2009-09-27,,Ulrich,Eigenfeld,1947,NPD,,NI,1
2009-09-27,,Egon,Eigenthaler,1938,REP,,BW,7
2009-09-27,,Gerhard Fritz,Einrauch,1929,REP,,HB,2
2009-09-27,,Toralf,Einsle,1980,FDP,158,SN,10
2009-09-27,Dr.,Stephan,Eisel,1955,CDU,97,NW,38
2009-09-27,,Dietmar,Eisele,1959,GRÜNE,125,,
2009-09-27,,Klaus Peter,Eisold,1961,SPD,,RP,30
2009-09-27,,Henrik,Eitel,1977,CDU,,SL,7
2009-09-27,,Hanaa,El-Hussein,1968,FDP,87,BE,6
2009-09-27,Dr.,Andreas,Ellendt,1963,CDU,,SH,15
2009-09-27,,Stefan,Ellenrieder,1961,BP,,BY,17
2009-09-27,,René,Emcke,1977,PIRATEN,,ST,1
2009-09-27,,Raimund Karl,Enders,1953,FAMILIE,222,BY,7
2009-09-27,,Thomas,Endres,1960,DIE LINKE,249,,
2009-09-27,,Leopold,Endriß,1936,ADM,,BW,10
2009-09-27,,Franziska,Engehausen,1963,SPD,260,BW,30
2009-09-27,,Stefan Klaus,Engel,1954,MLPD,124,NW,2
2009-09-27,Dr.,Ursula,Engelen-Kefer,1943,SPD,217,BY,30
2009-09-27,,Klaus Bruno,Engelhardt,1953,DIE LINKE,239,,
2009-09-27,,Sigurd Adolf,Engelmann,1936,NPD,246,,
2009-09-27,,Michaela Barbara,Engelmeier-Heite,1960,SPD,100,NW,34
2009-09-27,,Martin,Engels,1963,CDU,,HE,45
2009-09-27,,Oliver,Engels,1969,FDP,,RP,30
2009-09-27,,Rainer,Engels,1963,NPD,101,,
2009-09-27,,Christine,Engelschall,1965,Tierschutzpartei,,BY,1
2009-09-27,,Jan,Engert,1986,PIRATEN,,SL,6
2009-09-27,,Gaby,Englmeier,1967,CSU,,BY,27
2009-09-27,Dr.,Dagmar,Enkelmann,1956,DIE LINKE,60,BB,1
2009-09-27,,Horst,Entinger,1944,Bündnis21/RRP,,SL,3
2009-09-27,,Jürgen,Eppler,1971,ADM,,BW,9
2009-09-27,,Birgit,Erben,1952,DIE LINKE,,NW,34
2009-09-27,,Rainer,Erdel,1955,FDP,241,BY,14
2009-09-27,,Christoph,Erdmenger,1970,GRÜNE,68,ST,2
2009-09-27,,David,Erkalp,1974,CDU,19,,
2009-09-27,,Frank,Erkner,1966,FDP,30,NI,23
2009-09-27,,Gernot,Erler,1944,SPD,281,BW,2
2009-09-27,,Wolfgang Manfred,Ermert,1944,REP,,RP,5
2009-09-27,,Klaus,Ernst,1954,DIE LINKE,250,BY,1
2009-09-27,,Petra,Ernstberger,1955,SPD,239,BY,4
2009-09-27,,Engin,Eroglu,1982,GRÜNE,171,,
2009-09-27,,Mario,Ertel,1963,NPD,157,,
2009-09-27,,Mario,Ertel,1976,ÖDP,,BY,16
2009-09-27,,Frank,Eschrich,1964,DIE LINKE,211,,
2009-09-27,,Saskia,Esken,1961,SPD,280,BW,28
2009-09-27,,Jörg,Essen van,1947,FDP,146,NW,3
2009-09-27,,Hubert,Eßer,1959,SPD,109,NW,46
2009-09-27,,Steffen,Etzel,1950,DIE LINKE,176,,
2009-09-27,,nina,Eumann,1965,DIE LINKE,119,,
2009-09-27,,Dieter Walter Karl,Euscher,1939,Bündnis21/RRP,,NI,1
2009-09-27,,Karin,Evers-Meyer,1949,SPD,27,NI,4
2009-09-27,,Adalbert Peter,Ewen,1952,CDU,,SL,19
2009-09-27,,Monika,Ewert,1940,REP,,BY,4
2009-09-27,,Anke,Eymer,1949,CDU,11,SH,6
2009-09-27,,Stefan,Faber,1951,NPD,217,BY,8
2009-09-27,Dr.,Bernd-Bernhard,Fabritius,1965,CSU,,BY,32
2009-09-27,,Hannelore,Fackler-Plump,1946,BüSo,252,BY,6
2009-09-27,,Ivette Annabell,Fähnemann,1974,DVU,,HB,4
2009-09-27,Prof. Dr.,Christine,Färber,1964,SPD,,BB,8
2009-09-27,,Daniel,Fahr,1976,FDP,128,,
2009-09-27,,Florian,Fahrner,1978,ÖDP,231,BY,6
2009-09-27,,David,Faku,1986,BüSo,218,BY,8
2009-09-27,,Tobias Christoph Mzingisi,Faku,1988,BüSo,143,NW,11
2009-09-27,,Benno,Falk,1953,MLPD,,MV,5
2009-09-27,,Markus,Falk,1970,FDP,200,RP,7
2009-09-27,,Peter,Falk,1964,SPD,216,BY,25
2009-09-27,,Herbert,Falke,1956,GRÜNE,137,NW,30
2009-09-27,,Rena,Farquhar,1974,FDP,261,,
2009-09-27,,Gabriele,Faulhaber,1953,DIE LINKE,177,,
2009-09-27,,Dirk,Faust,1971,FDP,72,ST,5
2009-09-27,Dr.,Hans-Georg,Faust,1948,CDU,53,NI,17
2009-09-27,,Matthias,Faust,1971,DVU,,HH,1
2009-09-27,Dr.,Johannes,Fechner,1972,SPD,283,BW,24
2009-09-27,,Hanno,Fecke,1962,SPD,2,SH,11
2009-09-27,,Katharina,Fegebank,1977,GRÜNE,20,HH,3
2009-09-27,,Thomas,Fehling,1967,FDP,170,HE,19
2009-09-27,,Ralf,Fehlmann,1957,FAMILIE,,SL,3
2009-09-27,,Anette,Feike,1959,SPD,196,TH,7
2009-09-27,,Katharina,Feike,1976,SPD,16,MV,4
2009-09-27,,Uwe,Feiler,1965,CDU,59,BB,6
2009-09-27,,Karin,Feindt,1940,NPD,261,,
2009-09-27,Dr.,Thomas Wolfgang,Feist,1965,CDU,154,,
2009-09-27,,Konrad Kurt,Felber,1953,FDP,164,SN,6
2009-09-27,,Thomas,Feldhaus,1972,,84,,
2009-09-27,,Dagmar,Feldmann,1963,FAMILIE,137,NW,4
2009-09-27,,Thurid,Feldmann,1964,DIE LINKE,272,,
2009-09-27,,Martina,Feldmayer,1964,GRÜNE,182,,
2009-09-27,Dr.,Fritz,Felgentreu,1968,SPD,83,BE,8
2009-09-27,Dr.,Bernd,Fell,1948,FDP,49,NI,27
2009-09-27,,Hans-Josef,Fell,1952,GRÜNE,248,BY,2
2009-09-27,,Madeleine,Fellauer,1979,BüSo,,SN,3
2009-09-27,,Peter,Fendt,1950,BP,257,BY,18
2009-09-27,,Stefan,Fenner,1958,FDP,,HE,41
2009-09-27,,Gisbert,Ferger,1933,REP,,BY,21
2009-09-27,,Enak,Ferlemann,1963,CDU,30,NI,8
2009-09-27,,Elke,Ferner,1958,SPD,296,SL,1
2009-09-27,,Wolfgang,Ferner,1952,DIE LINKE,200,RP,4
2009-09-27,Dr.,Stefan,Feuerstein,1951,FDP,193,,
2009-09-27,,Alexander,Feyen,1975,NPD,254,,
2009-09-27,,Thomas,Fickenwirth,1954,FDP,214,BY,24
2009-09-27,,Sascha,Fiek,1974,FDP,281,BW,16
2009-09-27,,Marion,Figge,1964,NPD,,NW,3
2009-09-27,,Josef,Filippek,1949,DIE LINKE,150,NW,24
2009-09-27,,Matthias,Fimmel,1971,,193,,
2009-09-27,,Elke,Fimmen,1954,BüSo,,BW,1
2009-09-27,,Klaus,Fimmen,1956,BüSo,183,HE,7
2009-09-27,,Jochen,Findeisen,1948,DIE LINKE,262,BW,18
2009-09-27,,Jan niklas,Fingerle,1974,PIRATEN,,SL,1
2009-09-27,,Eva-Maria,Fink-Hanebuth,1955,FDP,,HE,29
2009-09-27,,Peter,Finke,1949,RENTNER,,NW,2
2009-09-27,,Ingrid,Fischbach,1957,CDU,142,NW,6
2009-09-27,,Axel,Fischer,1966,CDU,272,,
2009-09-27,,Christian,Fischer,1982,NPD,,NI,10
2009-09-27,,Christian,Fischer,1979,PIRATEN,,TH,4
2009-09-27,Dr.,Dietrich,Fischer,1930,REP,,NW,7
2009-09-27,,Dirk Erik,Fischer,1943,CDU,22,HH,1
2009-09-27,,Harald,Fischer,1960,FAMILIE,,BY,6
2009-09-27,,Hartwig,Fischer,1948,CDU,54,NI,10
2009-09-27,,Karl-Heinz,Fischer,1952,REP,,NW,9
2009-09-27,,Lydia,Fischer,1949,CDU,,HH,8
2009-09-27,,Marcus,Fischer,1964,FDP,120,NW,59
2009-09-27,,Markus,Fischer,1964,FDP,269,BW,34
2009-09-27,,Peter,Fischer,1955,SPD,285,BW,31
2009-09-27,,Poul-Ludwig,Fischer,1946,FDP,,RP,17
2009-09-27,,Roland,Fischer,1961,SPD,221,BY,35
2009-09-27,,Werner,Fischer,1955,,257,,
2009-09-27,,Jürgen,Fischinger,1956,NPD,282,,
2009-09-27,,Peter,Fitzek,1965,,71,,
2009-09-27,,Ulrike,Flach,1951,FDP,119,NW,6
2009-09-27,Dr.,Maria Franziska,Flachsbarth,1963,CDU,48,NI,6
2009-09-27,,Daniel,Flachshaar,1976,PIRATEN,,TH,2
2009-09-27,Dr.,Helmut,Fleck,1938,Volksabstimmung,98,NW,1
2009-09-27,,Hermann,Fleischer,1950,DIE LINKE,50,NI,27
2009-09-27,,Holger,Flöge,1956,FDP,46,NI,29
2009-09-27,,Klaus-Peter,Flosbach,1952,CDU,100,NW,34
2009-09-27,,Thomas,Flügge,1974,SPD,,NI,55
2009-09-27,,Stephan,Flug,1967,NPD,149,NW,17
2009-09-27,,Matthias,Fobo,1961,GRÜNE,65,,
