WahlkreisNr,Wahlkreis,Voters,Voted,Invalid_S1,Invalid_S2,Valid_S1,Valid_S2,SPD_S1,SPD_S2,CDU_S1,CDU_S2,FDP_S1,FDP_S2,DIE LINKE_S1,DIE LINKE_S2,GRÜNE_S1,GRÜNE_S2,CSU_S1,CSU_S2,NPD_S1,NPD_S2,REP_S1,REP_S2,FAMILIE_S1,FAMILIE_S2,Die Tierschutzpartei_S1,Die Tierschutzpartei_S2,PBC_S1,PBC_S2,MLPD_S1,MLPD_S2,BüSo_S1,BüSo_S2,BP_S1,BP_S2,PSG_S2,Volksabstimmung_S1,Volksabstimmung_S2,ZENTRUM_S1,ZENTRUM_S2,ADM_S1,ADM_S2,CM_S2,DKP_S1,DKP_S2,DVU_S2,DIE VIOLETTEN_S1,DIE VIOLETTEN_S2,FWD_S2,ödp_S1,ödp_S2,PIRATEN_S1,PIRATEN_S2,RRP_S1,RRP_S2,RENTNER_S2,Freie Union_S1,Übrige_S1
26,Friesland – Wilhelmshaven – Wittmund,190 546,132 735,2 630,1 939,130 105,130 796,51 851,40 610,42 211,38 728,12 283,19 204,12 055,13 572,9 794,12 009,0,0,1 911,1 570,0,0,0,0,0,1 277,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,112,0,2 452,0,1 071,0,0,0
27,Oldenburg – Ammerland,215 591,158 347,1 891,1 490,156 456,156 857,49 020,42 551,55 610,44 090,13 840,22 917,14 080,15 244,21 651,24 171,0,0,1 548,1 345,0,0,0,0,0,1 349,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,192,0,4 000,707,821,0,0,0
28,Delmenhorst – Wesermarsch – Oldenburg-Land,226 440,161 584,1 970,1 821,159 614,159 763,55 374,45 895,56 273,49 810,16 163,23 109,13 751,15 906,14 446,16 731,0,0,2 346,2 009,0,0,0,0,0,1 519,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,179,0,2 879,1 261,1 506,0,0,0
29,Cuxhaven – Stade II,189 058,135 824,1 902,1 575,133 922,134 249,50 481,40 643,51 654,46 707,10 426,17 146,10 307,11 920,8 379,11 885,0,0,1 828,1 567,0,0,0,0,0,1 072,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,173,0,1 938,0,945,0,0,847
30,Stade I – Rotenburg II,192 956,142 114,1 690,1 424,140 424,140 690,46 851,37 784,62 035,51 303,9 946,20 056,9 096,10 541,9 409,14 253,0,0,2 349,2 061,0,0,0,0,0,999,0,0,0,43,307,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,170,0,2 503,0,837,0,0,431
31,Mittelems,226 979,169 078,1 775,1 550,167 303,167 528,43 503,39 085,91 378,79 052,13 278,23 749,8 195,9 169,9 819,11 357,0,0,1 130,1 014,0,0,0,0,0,853,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,158,0,2 347,0,642,0,0,0
32,Cloppenburg – Vechta,212 449,148 935,1 708,1 425,147 227,147 510,28 053,24 358,91 686,80 355,12 700,23 001,6 927,7 518,6 575,7 827,0,0,1 286,1 132,0,0,0,0,0,766,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,108,0,1 953,0,372,0,0,0
33,Diepholz – Nienburg I,193 411,141 838,1 646,1 315,140 192,140 523,48 313,38 955,52 599,47 565,15 928,22 067,9 775,11 701,11 917,13 999,0,0,1 660,1 442,0,0,0,0,0,1 059,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,0,143,0,2 435,0,937,0,0,0
34,Osterholz – Verden,192 320,144 883,1 642,1 337,143 241,143 546,52 397,41 979,53 080,45 908,10 787,17 889,12 242,13 830,12 318,17 053,0,0,2 417,1 981,0,0,0,0,0,1 228,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,152,0,2 339,0,976,0,0,0
35,Rotenburg I – Heidekreis,168 573,121 941,1 702,1 326,120 239,120 615,42 395,33 279,48 344,42 324,9 895,16 930,8 366,9 759,9 101,12 155,0,0,2 138,1 825,0,0,0,0,0,1 172,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,133,0,2 252,0,597,0,0,0
36,Harburg,191 159,148 918,1 976,1 552,146 942,147 366,45 002,36 139,59 657,50 104,15 812,24 967,9 611,10 825,13 772,18 002,0,0,1 935,1 636,0,0,0,0,0,1 132,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,0,238,0,2 963,1 153,1 150,0,0,0
37,Lüchow-Dannenberg – Lüneburg,177 098,131 466,1 695,1 366,129 771,130 100,40 411,32 321,43 229,37 291,11 242,16 323,11 935,13 166,19 645,23 543,0,0,1 860,1 594,0,0,0,0,0,1 002,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,194,0,2 795,1 449,1 704,0,0,0
38,Osnabrück-Land,197 143,144 630,1 706,1 353,142 924,143 277,46 028,37 936,63 175,55 599,12 940,21 117,9 006,10 211,10 393,13 227,0,0,1 382,1 243,0,0,0,0,0,854,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,190,0,2 268,0,486,0,0,0
39,Stadt Osnabrück,192 473,143 711,1 584,1 370,142 127,142 341,46 979,38 000,54 522,48 398,14 823,19 941,9 918,11 878,14 282,18 463,0,0,945,848,0,0,0,0,0,880,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,216,0,3 168,0,443,0,0,658
