WahlkreisNr,Wahlkreis,Voters,Voted,Invalid_S1,Invalid_S2,Valid_S1,Valid_S2,SPD_S1,SPD_S2,CDU_S1,CDU_S2,FDP_S1,FDP_S2,DIE LINKE_S1,DIE LINKE_S2,GRÜNE_S1,GRÜNE_S2,CSU_S1,CSU_S2,NPD_S1,NPD_S2,REP_S1,REP_S2,FAMILIE_S1,FAMILIE_S2,Tierschutzpartei_S1,Tierschutzpartei_S2,PBC_S1,PBC_S2,MLPD_S1,MLPD_S2,BüSo_S1,BüSo_S2,BP_S1,BP_S2,PSG_S2,Volksabstimmung_S1,Volksabstimmung_S2,ZENTRUM_S1,ZENTRUM_S2,ADM_S1,ADM_S2,CM_S2,DKP_S1,DKP_S2,DVU_S2,DIE VIOLETTEN_S1,DIE VIOLETTEN_S2,FWD_S2,ÖDP_S1,ÖDP_S2,PIRATEN_S1,PIRATEN_S2,Bündnis21/RRP_S1,Bündnis217RRP_S2,RENTNER_S2,Freie Union_S1,Übrige_S1
145,Hamm  Unna II,239907,167422,2324,1932,165098,165490,72446,55249,54088,52623,14952,19998,11638,15917,8993,12798,,,2981,2113,,536,,810,,1049,,,,60,,26,,,26,,120,,66,,,,,,206,,,,,88,,2889,,241,675,,
146,Soest,232781,165293,2204,1921,163089,163372,47583,41522,74725,59805,15625,27675,11432,12460,11924,14081,,,1800,1324,,388,,1037,,922,,,,13,,48,,,22,,149,,123,,,,,,118,,,,,106,,2612,,315,652,,
147,Hochsauerlandkreis,209440,152242,1927,1702,150315,150540,40010,36741,77687,63133,13753,24530,9362,10064,7966,9460,,,1537,1223,,306,,910,,809,,,,25,,23,,,26,,146,,121,,,,,,96,,,,,112,,2008,,206,601,,
148,Siegen-Wittgenstein,218411,156878,2271,1682,154607,155196,60500,44822,64217,53999,15482,23059,12009,12362,,13385,,,2399,1910,,660,,755,,920,,,,22,,26,,,22,,152,,88,,,,,,67,,,,,218,,2044,,200,485,,
149,Olpe  Märkischer Kreis I,214196,151127,1941,1733,149186,149394,42273,36470,70705,59358,15568,25021,10100,10797,8476,10379,,,2064,1564,,503,,879,,978,,,,40,,20,,,37,,151,,115,,,,,,119,,,,,108,,1901,,281,673,,
150,Märkischer Kreis II,210993,146986,1788,1661,145198,145325,59521,41755,52751,51494,11740,20616,10431,12450,6207,10589,,,2331,1902,,555,,810,2217,1310,,,,48,,25,,,23,,169,,67,,,,,,105,,,,,105,,2181,,335,786,,
151,Nordsachsen,178447,109628,1785,1672,107843,107956,15860,16927,44147,38440,10611,13747,27760,27765,4357,4783,,,5108,5069,,381,,,,,,,,261,,583,,,,,,,,,,,,,,,,,,,,,,,,,
152,Leipzig I,202455,129834,1719,1523,128115,128311,24866,23070,42704,38471,11781,16478,34015,32762,8856,11474,,,4202,4225,,340,,,,,,,,294,1691,1197,,,,,,,,,,,,,,,,,,,,,,,,,
153,Leipzig II,212804,144581,1904,1786,142677,142795,32841,26133,41101,37304,10505,16983,36117,36431,17345,20998,,,3094,3119,,248,,,,,,,,376,1674,1203,,,,,,,,,,,,,,,,,,,,,,,,,
154,Leipzig-Land,231084,148389,2283,2081,146106,146308,23471,23354,60969,53735,14799,19240,33044,34826,6745,7533,,,5988,5751,,462,,,,,,,,375,,1032,,,,,,,,,,,,,,,,,,,,,,,,,1090
155,Meißen,216629,140109,2289,2288,137820,137821,17236,17987,62290,51703,12403,20052,29423,31286,8315,7979,,,7050,6875,,404,,,,,,,,327,,1208,,,,,,,,,,,,,,,,,,,,,,,,,1103
156,Bautzen I,237786,154966,2907,2573,152059,152393,16870,18906,64325,59103,17755,20969,38241,37144,6505,6431,,,8363,7597,,527,,,,,,,,448,,1268,,,,,,,,,,,,,,,,,,,,,,,,,
157,Görlitz,238958,149737,2750,2590,146987,147147,17005,18569,62338,55015,13935,19223,35786,36231,7381,7004,,,7842,8035,,540,,,,,,,,413,2700,2117,,,,,,,,,,,,,,,,,,,,,,,,,
158,Sächsische Schweiz-Osterzgebirge,215674,141214,2454,2254,138760,138960,16194,16725,62530,56001,15292,19910,28233,28970,6378,7346,,,7983,7717,,412,,,,,,,,258,2150,1621,,,,,,,,,,,,,,,,,,,,,,,,,
159,Dresden I,230676,157220,2007,1773,155213,155447,25959,24373,56749,53247,14818,20574,37180,34171,13668,16961,,,3851,3980,,281,,,,,,,,297,1575,1563,,,,,,,,,,,,,,,,,,,,,,,,,1413
160,Dresden II  Bautzen II,231247,154609,2328,2012,152281,152597,22268,21518,55401,51621,18204,21783,29679,30870,18871,19978,,,4389,4501,,366,,,,,,,436,391,1597,1569,,,,,,,,,,,,,,,,,,,,,,,,,1436
161,Mittelsachsen,223149,143690,2294,2123,141396,141567,20800,18677,61579,54525,14032,19726,32744,34630,5921,6208,,,6320,6200,,483,,,,,,,,315,,803,,,,,,,,,,,,,,,,,,,,,,,,,
