Titel;Vorname;Nachname;Partei;Jahrgang;Kandidatennummer
;"Wilfried";"Döring";"ödp";1953;520
;"Axel";"Dörken";;1967;521
;"Peter J.";"Dörken";"RRP";1938;522
;"Helmut";"Dörlitz";"DVU";1963;523
;"Martin";"Dörmann";"SPD";1962;524
;"Katja";"Dörner";"GRÜNE";1976;525
;"Uwe";"Dörnhöfer";"SPD";1969;526
;"Joachim";"Dörr";"SPD";1968;527
;"Vera Nadja";"Döscher";"FDP";1972;528
;"Marie-Luise";"Dött";"CDU";1953;529
;"Norbert";"Dohmen";"GRÜNE";1951;530
;"Helmut-Hartwig";"Doll";"DIE LINKE";1948;531
;"Pauli";"Doll";"BP";1956;532
;"Norbert";"Domes";"DIE LINKE";1950;533
;"Dennis";"Dormuth";"NPD";1980;534
;"Hubert";"Dorn";"BP";1956;535
;"Bernd";"Dorst";;1950;536
;"Horst";"Dotten";"MLPD";1957;537
;"Thomas";"Dotzler";"BP";1965;538
;"Alexander Ewald";"Drage van";"REP";1980;539
;"Wolf-Henry";"Dreblow";"FDP";1958;540
;"Jochen";"Dreetz";"GRÜNE";1956;541
;"Werner";"Dreibus";"DIE LINKE";1947;542
"Dr.";"Artur";"Dreischer";"Volksabstimmung";1928;543
"Dr.";"Ulrich";"Drerup";"CDU";1951;544
