Titel;Vorname;Nachname;Partei;Jahrgang;Kandidatennummer
;"Dirk";"Heimsoth";"NPD";1956;1092
"Dr.";"Rosemarie Anna Gertrud";"Hein";"DIE LINKE";1953;1093
;"Tobias";"Heine";"PIRATEN";1986;1094
;"Silvia";"Heinel";"BüSo";1988;1095
;"Uwe";"Heinemann";"SPD";1975;1096
;"Anita";"Heinemeyer";"DIE LINKE";1948;1097
;"Alexandra";"Heinen";"CDU";1971;1098
;"Ursula";"Heinen-Esser";"CDU";1965;1099
;"Filip";"Heinlein";"GRÜNE";1985;1100
;"Frank";"Heinrich";"CDU";1964;1101
;"Ralf";"Heinrich";"BüSo";1962;1102
"Dr.";"Christine";"Heins";"CDU";1963;1103
;"Marcus";"Heintel";"SPD";1976;1104
;"Alexander";"Heinz";"FDP";1978;1105
;"Axel";"Heinzmann";"NPD";1946;1106
;"Gerhard";"Heinzmann";"PBC";1940;1107
;"Michael";"Heinzmann";"PBC";1969;1108
;"Thorsten";"Heise";"NPD";1969;1109
;"Thomas Martin";"Heiske";"FDP";1966;1110
;"Michael";"Heitchen";"FDP";1971;1111
;"Ingo";"Helge";"NPD";1976;1112
;"Hendrik Tilmann";"Heller";"NPD";1986;1113
;"Uda Carmen Freia";"Heller";"CDU";1951;1114
;"Harald";"Helling";"SPD";1958;1115
;"Katrin";"Helling";"FDP";1986;1116
;"Wolfgang";"Hellmich";"SPD";1958;1117
;"Ronnie";"Hellriegel";"NPD";1978;1118
;"Jan";"Helmer";"CSU";1964;1119
"Dr.";"Reinhold";"Hemker";"SPD";1944;1120
;"Dennis";"Hempel";;1983;1121
;"Rolf";"Hempelmann";"SPD";1948;1122
"Dr.";"Barbara";"Hendricks";"SPD";1952;1123
;"Rudolf";"Henke";"CDU";1954;1124
;"Walter";"Henke";"FDP";1952;1125
;"Werner";"Henn";"SPD";1957;1126
;"Andreas";"Henne";"CDU";1966;1127
;"Stefanie";"Henneke";"GRÜNE";1979;1128
;"Martin";"Hennig";"BüSo";1970;1129
;"Wolff-Eberhard";"Hennigs von";"CDU";1929;1130
"Dr.";"Rigolf";"Henning";"NPD";1935;1131
;"Dieter";"Hennne";"FAMILIE";1955;1132
;"Michael";"Hennrich";"CDU";1965;1133
;"Werner";"Henrichs";"Volksabstimmung";1938;1134
;"Ursula Maria";"Henry";"SPD";1941;1135
;"Norbert";"Hense";;1990;1136
;"Christoph";"Hentzen";"FDP";1959;1137
;"Clemens";"Henzler";"CDU";1945;1138
"Dr.";"Ernst Albert";"Herbert";"MLPD";1952;1139
;"Sibylle";"Herbert";"FDP";1942;1140
;"Stefan";"Herbert";"DIE VIOLETTEN";1965;1141
"Dr.";"Ulrich";"Herbert";"FDP";1952;1142
;"Bettina";"Herlitzius";"GRÜNE";1960;1143
;"Petra";"Hermann";"FDP";1960;1144
;"Winfried";"Hermann";"GRÜNE";1952;1145
;"Stefan";"Hermes";"PIRATEN";1967;1146
;"Hans-Dieter";"Herold";"GRÜNE";1951;1147
;"Bärbel";"Herr";"REP";1948;1148
"Dr.";"Dietrich";"Herrmann";"GRÜNE";1962;1149
;"Jürgen";"Herrmann";"CDU";1962;1150
;"Detlef";"Hertz";"DIE LINKE";1967;1151
;"Christine";"Hertzler-Zimmer";"SPD";1966;1152
;"Monica";"Herz";;1956;1153
;"Franz";"Herzig";"CDU";1950;1154
;"Gustav";"Herzog";"SPD";1958;1155
;"Konrad Rudolf";"Heß";"FAMILIE";1939;1156
;"Marion";"Heß";"FDP";1967;1157
;"Petra";"Heß";"SPD";1959;1158
;"Klaus-Peter";"Hesse";"CDU";1967;1159
;"Peter";"Hettlich";"GRÜNE";1959;1160
;"Ingrid";"Hetz";"DIE VIOLETTEN";1956;1161
;"Markus";"Heurung";"PIRATEN";1977;1162
;"Walter";"Heuser";"DIE LINKE";1936;1163
;"Ansgar";"Heveling";"CDU";1972;1164
;"Matthias";"Heyder";"NPD";1972;1165
"Dr.";"Jürgen";"Heydrich";"REP";1933;1166
;"Hannah";"Heyenn";"DIE LINKE";1982;1167
;"Bernd Reinhold Gerhard";"Heynemann";"CDU";1954;1168
;"Wolfgang";"Hiebinger";"BP";1946;1169
;"Antje";"Hiekisch";"NPD";1977;1170
;"Michael Siegmund Reinhard";"Hien";"CSU";1987;1171
;"Uwe";"Hiksch";"DIE LINKE";1964;1172
;"Karl Willi Arthur";"Hilburger";"RRP";1947;1173
;"Anna-Maria";"Hildebrand";"BüSo";1985;1174
;"Arne";"Hildebrandt";"PIRATEN";1985;1175
;"Robert";"Hildebrandt";"PIRATEN";1983;1176
;"Frank";"Hilgenkamp";"GRÜNE";1972;1177
;"Rainer";"Hilgert";"ödp";1953;1178
;"Axel";"Hilker";"GRÜNE";1967;1179
;"Hans-Kurt";"Hill";"DIE LINKE";1950;1180
;"Dirk";"Hillbrecht";"PIRATEN";1972;1181
;"Heinz";"Hillebrand";"DIE LINKE";1954;1182
;"Gabriele";"Hiller-Ohm";"SPD";1953;1183
;"Ernst";"Hinsken";"CSU";1943;1184
;"Henning";"Hintze";"DIE LINKE";1942;1185
;"Peter";"Hintze";"CDU";1950;1186
;"Petra";"Hinz";"SPD";1962;1187
;"Priska";"Hinz";"GRÜNE";1959;1188
;"Cornelia";"Hirsch";"DIE LINKE";1980;1189
;"Christian";"Hirte";"CDU";1976;1190
;"Thomas";"Hitschler";"SPD";1982;1191
;"Robert";"Hochbaum";"CDU";1954;1192
;"Stephan";"Hochstein";"BüSo";1983;1193
;"Heidrun";"Höche";"DIE VIOLETTEN";1959;1194
;"Manuel";"Höferlin";"FDP";1973;1195
;"Ulrike";"Höfken-Deipenbrock";"GRÜNE";1955;1196
;"Inge";"Höger";"DIE LINKE";1950;1197
"Dr.";"Eva";"Högl";"SPD";1969;1198
;"Jörg";"Höhfeld";"GRÜNE";1944;1199
;"Bärbel";"Höhn";"GRÜNE";1952;1200
;"Renate";"Höhne";"MLPD";1956;1201
"Dr.";"Barbara";"Höll";"DIE LINKE";1957;1202
;"Ingrid";"Hönlinger";"GRÜNE";1964;1203
;"Michael Hans";"Höntsch";"DIE LINKE";1954;1204
;"Manfred";"Hörner";"MLPD";1951;1205
;"Rüdiger";"Hoersch";"RRP";1964;1206
;"Heinz-Jürgen";"Hörster";"DIE LINKE";1949;1207
;"Joachim";"Hörster";"CDU";1945;1208
;"Andreas Christian";"Höveler";"DVU";1944;1209
;"Heinrich";"Hövelmann";"FAMILIE";1956;1210
;"Jan";"Hövener";;1966;1211
;"Heiner";"Höving";"DVU";1960;1212
;"Ulrich";"Höwing";;1983;1213
;"Elke";"Hoff";"FDP";1957;1214
"Dr.";"Bettina";"Hoffman";"GRÜNE";1960;1215
;"Dieter";"Hoffmann";"GRÜNE";1965;1216
;"Hans-Viktor";"Hoffmann";"FDP";1943;1217
"Dr.";"Ludwig";"Hoffmann";"BüSo";1937;1218
;"Rolf";"Hoffmann";;1935;1219
;"Susanne";"Hoffmann";"NPD";1960;1220
;"Timo";"Hoffmann";"BüSo";1978;1221
;"Ulrich";"Hoffmann";"ödp";1962;1222
;"Michael";"Hoffmeier";"GRÜNE";1969;1223
;"Axel";"Hofmann";"DIE LINKE";1944;1224
;"Frank";"Hofmann";"SPD";1949;1225
;"Frank";"Hofmann";"BP";1957;1226
;"Franziska";"Hofmann";"CM";1948;1227
;"Friedrich";"Hofmann";"MLPD";1954;1228
"Dr.";"Anton";"Hofreiter";"GRÜNE";1970;1229
;"Hermann";"Hofstetter";"ödp";1962;1230
;"Ruth";"Hohenadl";"FDP";1960;1231
;"Anna Helga Angela";"Hohmann";"SPD";1963;1232
;"Michael";"Holl";;1990;1233
;"Karin";"Hollack";"NPD";1940;1234
;"Karl";"Holmeier";"CSU";1956;1235
;"Ingeborg";"Holst";"Die Tierschutzpartei";1938;1236
;"Angela Brigitte";"Holz";"SPD";1979;1237
;"Franz-Josef";"Holzenkamp";"CDU";1960;1238
;"Malte";"Holzer";"NPD";1965;1239
;"Birgit";"Homburger";"FDP";1965;1240
;"Gerhard";"Honsel";"FAMILIE";1946;1241
"Dr.";"Wielant";"Hopfner";"NPD";1942;1242
;"Ulrich";"Hopmann";"SPD";1953;1243
;"Siegmund";"Hoppe";"PIRATEN";1953;1244
;"Thilo";"Hoppe";"GRÜNE";1958;1245
;"Margaret";"Horb";"CDU";1967;1246
;"Rainer";"Horbas";"FDP";1970;1247
;"Waldemar";"Horn";"NPD";1973;1248
;"Mirco";"Hornig";"REP";1973;1249
;"Cornelia";"Hornung";"SPD";1975;1250
;"Fritz-Walter";"Hornung";"DIE LINKE";1957;1251
;"Nicole";"Hornung";"PIRATEN";1958;1252
;"Sophia";"Horz-Hövel";"GRÜNE";1963;1253
;"Bettina";"Houben";"FDP";1960;1254
"Dr.";"Guido";"Hoyer";"DIE LINKE";1968;1255
"Dr.";"Werner";"Hoyer";"FDP";1951;1256
;"André Torsten";"Hubatschek";"FDP";1965;1257
;"Edda";"Huber";"Die Tierschutzpartei";1938;1258
;"Judith";"Huber";"SPD";1963;1259
;"Jürgen";"Huber";"GRÜNE";1954;1260
;"Klaus";"Huber";"FAMILIE";1942;1261
;"Konrad";"Huber";"REP";1967;1262
;"Martin";"Huber";"REP";1960;1263
;"Ute";"Hubig";"CDU";1947;1264
;"Anette";"Hübinger";"CDU";1955;1265
;"Bernd Michael";"Hübner";"DIE LINKE";1961;1266
;"Klaas";"Hübner";"SPD";1967;1267
;"Johannes";"Hühnlein";"NPD";1984;1268
;"Robert";"Huemer";"ödp";1967;1269
;"Hubert";"Hüppe";"CDU";1956;1270
;"Michael";"Huffer";"DIE LINKE";1956;1271
;"Christian";"Hufgard";"PIRATEN";1979;1272
;"Roland Wolfgang";"Hultsch";"BüSo";1955;1273
;"Christel";"Humme";"SPD";1949;1274
;"Alexander Helmut";"Hummel";"CSU";1977;1275
;"Peter";"Hummel";"BüSo";1965;1276
;"Thomas";"Hummel";"BP";1982;1277
;"Werner";"Hummel";"FAMILIE";1963;1278
;"Christian";"Hummert";"DIE LINKE";1979;1279
;"Ralph";"Hunderlach";"PIRATEN";1974;1280
;"Andrej Konstantin";"Hunko";"DIE LINKE";1963;1281
;"Jelica";"Hunner";"BP";1960;1282
;"Johann";"Hunner";"BP";1941;1283
;"Vera";"Hupe";"ödp";1959;1284
;"Martina";"Hurst";"CDU";1982;1285
;"Monica";"Hussinger";"FDP";1960;1286
;"Christian";"Huth";"BüSo";1964;1287
;"Joachim";"Huth";"BüSo";1960;1288
;"Richard";"Igelmann";"DVU";1977;1289
;"Klaus-Dieter";"Ilius";"MLPD";1948;1290
;"Petra";"Ilius";"MLPD";1950;1291
;"Danial";"Ilkhanipour";"SPD";1981;1292
;"Jörg Joachim";"Irion";"MLPD";1939;1293
;"Philipp";"Irmscher";"FDP";1988;1294
;"Thomas";"Iseke";"FDP";1963;1295
;"Figen";"Izgin";"DIE LINKE";1965;1296
;"Gerlind Annemarie";"Jackowski";"ödp";1944;1297
;"Ulf";"Jäger";"DIE LINKE";1964;1298
;"Jan";"Jaeschke";"NPD";1990;1299
"Dr.";"Eva";"Jager";"FDP";1950;1300
;"Stefan";"Jagsch";"NPD";1986;1301
;"Andreas";"Jahn";"NPD";1955;1302
;"Kirsten";"Jahn";"GRÜNE";1976;1303
;"Franz";"Jansen";;1935;1304
;"Cornelius Heinrich";"Janßen";"FDP";1965;1305
;"Jan";"Janssen";;1971;1306
;"Michael";"Janssen";"NPD";1985;1307
;"Richard";"Janus";"GRÜNE";1970;1308
;"Hans-Werner";"Jarmer";"ZENTRUM";1958;1309
;"Thomas";"Jarzombek";"CDU";1973;1310
;"Erich";"Jaschkowski";;1952;1311
"Dr.";"Dieter";"Jasper";"CDU";1962;1312
;"Dorothea";"Jauernig";"MLPD";1938;1313
;"Jochen";"Jehle";"SPD";1968;1314
;"Ursula";"Jelpke";"DIE LINKE";1951;1315
;"Reiner";"Jenkel";"DIE LINKE";1950;1316
;"Kai";"Jennerjahn";"Die Tierschutzpartei";1983;1317
;"Karina Annemarie";"Jens";"CDU";1958;1318
"Dr.";"Nils";"Jensen";"ödp";1975;1319
;"Jens";"Jenssen";"SPD";1979;1320
;"Anneliese";"Jenter";"SPD";1953;1321
;"Thomas";"Jepsen";"CDU";1973;1322
;"Marieluise";"Jeschke";"REP";1935;1323
;"Elke";"Jesinghausen";"CDU";1955;1324
;"Heinz-Werner";"Jezewski";"DIE LINKE";1958;1325
"Dr.";"Lukrezia Luise";"Jochimsen";"DIE LINKE";1936;1326
;"Mathias";"Jochum";"CDU";1981;1327
;"Bruno";"Jöbkes";"GRÜNE";1967;1328
;"Wolfgang";"Jöckle";"ödp";1950;1329
;"Sven Wolfgang";"Jörns";"PIRATEN";1970;1330
;"Silke";"Johanning-Sturm";"CDU";1976;1331
;"Norbert";"Johannpötter";"ödp";1972;1332
;"Gisela";"Johlke";"GRÜNE";1945;1333
;"Robin";"John";"FDP";1976;1334
;"Rüdiger";"John";"ödp";1977;1335
;"Siegmar";"John";"BüSo";1939;1336
;"Arnold Peter";"Joosten";"SPD";1982;1337
"Dr.";"Hans-Heinrich";"Jordan";"CDU";1948;1338
;"Ingrid";"Jost";"DIE LINKE";1948;1339
"Dr.";"Ingo";"Juchler";"SPD";1962;1340
;"Ludwig";"Jürgens";"SPD";1942;1341
"Dr.";"Egon";"Jüttner";"CDU";1942;1342
;"Johannes";"Jüttner";"REP";1966;1343
;"Gert";"Julius";"DKP";1936;1344
;"Jörg";"Juner";"SPD";1967;1345
;"Andreas";"Jung";"CDU";1975;1346
"Dr.";"Franz Josef";"Jung";"CDU";1949;1347
;"Gabriele";"Jung";"GRÜNE";1965;1348
;"Johannes";"Jung";"SPD";1967;1349
;"Manuela";"Jung";"Die Tierschutzpartei";1960;1350
;"Sabine";"Jung";"SPD";1960;1351
;"Walter";"Jung";"FDP";1950;1352
;"Xaver";"Jung";"CDU";1962;1353
;"Jörg";"Jungmann";"DIE LINKE";1952;1354
;"Franziska";"Junker";"DIE LINKE";1963;1355
;"Luzian Bernd";"Junkereit";"DIE LINKE";1969;1356
;"Josip";"Juratovic";"SPD";1959;1357
;"Dirk";"Just";"GRÜNE";1973;1358
;"Jens";"Kabisch";"SPD";1984;1359
;"Oliver";"Kaczmarek";"SPD";1970;1360
;"Arne";"Kaehne";"NPD";1977;1361
;"Gabriele";"Kaenders";"DIE LINKE";1951;1362
;"Martina";"Kaesbach";"FDP";1964;1363
;"Alexander";"Kästner";"CDU";1975;1364
;"Toni";"Kästner";"BüSo";1985;1365
"Dr.";"Hartmut Herrmann";"Kahl";"GRÜNE";1981;1366
;"Michèle";"Kahl";"GRÜNE";1985;1367
;"Yazgülü";"Kahraman-Meister";"MLPD";1962;1368
;"Johannes";"Kahrs";"SPD";1963;1369
;"Werner";"Kainz";"DIE VIOLETTEN";1963;1370
;"Brigitte Ottilie";"Kaiser";"RRP";1944;1371
;"Christa";"Kaiser";"BüSo";1953;1372
;"Gerhard";"Kaiser";"SPD";1954;1373
;"Manfred";"Kaiser";"ödp";1968;1374
;"Peter";"Kaiser";"FDP";1971;1375
;"Sandra";"Kaiser";"ödp";1974;1376
;"Bartholomäus";"Kalb";"CSU";1949;1377
;"Artur";"Kalka";"Die Tierschutzpartei";1969;1378
;"Patrick";"Kallweit";"NPD";1985;1379
;"Uwe";"Kallweit";"NPD";1955;1380
"Dr.";"Helmut";"Kaltenhauser";"FDP";1961;1381
;"Norman";"Kalteyer";"DIE LINKE";1965;1382
;"Uwe";"Kaltschmid";"Volksabstimmung";1956;1383
;"Ali";"Kamburoglu";;1958;1384
;"Maren";"Kaminski";"DIE LINKE";1979;1385
;"Hans-Werner";"Kammer";"CDU";1948;1386
;"Jürgen";"Kammer";"PIRATEN";1962;1387
;"Rochus";"Kammer";"FDP";1956;1388
;"Günther";"Kammerer";"FDP";1963;1389
;"Heiner";"Kamp";"FDP";1964;1390
;"Steffen";"Kampeter";"CDU";1963;1391
;"Steffen";"Kanitz";"CDU";1984;1392
;"Olcay";"Kanmaz";"DIE LINKE";1957;1393
;"Harald";"Kanneder";;1965;1394
;"Ahmet";"Kansiz";;1963;1395
;"Helena";"Kapp";"CDU";1951;1396
;"Thomas";"Karcher";;1978;1397
;"Alois";"Karl";"CSU";1950;1398
;"Andreas";"Karl";"NPD";1963;1399
;"Ilja Bertold";"Karpowski";"BüSo";1981;1400
"Dr.";"Detleff";"Karstens";"PBC";1941;1401
;"Stefan";"Karstens";"DIE LINKE";1981;1402
;"Andreas";"Kaschke";"NPD";1967;1403
;"Heidi";"Kaschner";"DIE LINKE";1955;1404
;"Suat";"Kasem";"PIRATEN";1988;1405
;"Jacqueline";"Kasper";"NPD";1978;1406
;"Bernhard Nikolaus";"Kaster";"CDU";1957;1407
;"Susanne";"Kastner";"SPD";1946;1408
;"Ilse";"Kather";"MLPD";1948;1409
;"Michael";"Kauch";"FDP";1967;1410
;"Siegfried";"Kauder";"CDU";1950;1411
;"Volker";"Kauder";"CDU";1949;1412
;"Johanna";"Kaufmann";"ödp";1940;1413
"Dr.";"Stefan";"Kaufmann";"CDU";1969;1414
;"Thomas";"Kauper";"PBC";1960;1415
;"Titus-Ivo";"Kaute";;1952;1416
;"Uwe Adolf Otto";"Kekeritz";"GRÜNE";1953;1417
;"Ulrich";"Kelber";"SPD";1968;1418
;"Christian";"Keller";"SPD";1976;1419
;"Hartmut";"Keller";"RENTNER";1941;1420
;"Thomas";"Keller";"FDP";1959;1421
;"Hans-Jürgen";"Kemmerle";"DIE LINKE";1953;1422
;"Ulrike";"Kepper-Grämer";"FDP";1956;1423
;"Jens";"Keppler";"NPD";1966;1424
;"Michael";"Kerber";"NPD";1978;1425
;"Daniel";"Kern";"CDU";1983;1426
;"Bärbel";"Kersken";"MLPD";1964;1427
;"Gerd";"Kersting";"ödp";1956;1428
;"Sieglinde";"Kersting";"ödp";1957;1429
;"Ulrike Josefine";"Kessing";"GRÜNE";1965;1430
;"Ilko";"Keßler";"SPD";1971;1431
;"Achim Robert";"Keßler-Binder";"DIE VIOLETTEN";1938;1432
;"Thomas";"Kestler";"GRÜNE";1975;1433
;"Katja";"Keul";"GRÜNE";1969;1434
;"Nader";"Khalil";"CDU";1968;1435
;"Susanne";"Kieckbusch";"GRÜNE";1961;1436
"Dr.";"Reinhold";"Kiehl";;1947;1437
;"Franz Xaver";"Kieninger";"REP";1964;1438
"Dr.";"Cornelia";"Kienzer";"Freie Union";1957;1439
;"Roderich";"Kiesewetter";"CDU";1963;1440
;"Thomas";"Kik";"REP";1965;1441
;"Memet";"Kilic";"GRÜNE";1967;1442
;"Lutz";"Kind";;1961;1443
;"Ralf";"Kindelmann";"CSU";1976;1444
;"Sven-Christian";"Kindler";"GRÜNE";1985;1445
;"Anja";"Kindo";"DIE LINKE";1966;1446
;"Katja";"Kipping";"DIE LINKE";1978;1447
;"Andreas";"Kirchgeßner";"DIE LINKE";1959;1448
"Dr.";"Josef";"Kirchmann";"BP";1946;1449
;"Bruno Josef";"Kirchner";"NPD";1953;1450
;"Gertrud";"Kirf";"SPD";1957;1451
;"Martina";"Kirsch";"FDP";1973;1452
;"Frank";"Kirstan";"SPD";1965;1453
;"Hakan";"Kisa";"GRÜNE";1975;1454
;"Thomas";"Kistermann";"MLPD";1970;1455
;"Stefan";"Kisters";"GRÜNE";1966;1456
;"Manfred";"Kitzberger";"REP";1959;1457
;"Eckart Peter Hans";"Klaeden von";"CDU";1965;1458
;"Simon";"Klages";"PIRATEN";1969;1459
;"Olaf";"Klampe";"FDP";1955;1460
;"Ewa";"Klamt";"CDU";1950;1461
;"Guido";"Klamt";"ödp";1970;1462
;"Olaf";"Klanke";"NPD";1967;1463
;"Wolfgang";"Klare";"FDP";1966;1464
;"Andreas";"Klaschka";"FDP";1958;1465
;"Anne";"Klatt";"GRÜNE";1982;1466
;"Helmut";"Klaus";"REP";1949;1467
;"Werner";"Klawun";"NPD";1942;1468
;"Anne Käthe";"Kleffel";"MLPD";1951;1469
;"Kurt-Peter";"Kleffel";"MLPD";1953;1470
;"Christian";"Kleiminger";"SPD";1965;1471
;"Achim";"Klein";"ödp";1952;1472
;"Martin";"Klein";"DIE LINKE";1959;1473
;"Rosalinde";"Klein";"CM";1941;1474
;"Volkmar";"Klein";"CDU";1960;1475
;"Maria Anna";"Klein-Schmeink";"GRÜNE";1958;1476
;"Thea";"Kleinert";"DIE LINKE";1966;1477
;"Renate";"Kleinfeld";"SPD";1952;1478
"Dr.";"Peter";"Kleinmann";"CDU";1956;1479
;"Alexander";"Kleist";"FDP";1984;1480
;"Horst Karl Hermann";"Klemke";"RENTNER";1937;1481
;"Jan";"Klemkow";"PIRATEN";1988;1482
;"Heidrich Torwald";"Klenhart";"NPD";1975;1483
;"Thomas";"Kleppe";"PBC";1962;1484
;"Jürgen";"Klimke";"CDU";1948;1485
;"Lars";"Klingbeil";"SPD";1978;1486
;"Marcel";"Klinge";"FDP";1980;1487
;"Harald";"Klingenberg";"Freie Union";1950;1488
;"Wolfgang";"Klinger";"DIE LINKE";1961;1489
;"Andreas";"Klingner";;1961;1490
;"Peter";"Klis";;1956;1491
;"Hubert";"Klodt";"FDP";1951;1492
;"Julia";"Klöckner";"CDU";1972;1493
;"Hans-Ulrich";"Klose";"SPD";1937;1494
"Dr.";"Michael";"Klotzbücher";"FDP";1951;1495
;"Mario";"Klotzsche";"FDP";1977;1496
;"Astrid";"Klug";"SPD";1968;1497
;"Christoph Augustinus";"Klug";"MLPD";1950;1498
;"Hans-Robert";"Klug";"NPD";1972;1499
;"Andy";"Knape";"NPD";1986;1500
;"Adolf";"Knapp";"DIE LINKE";1952;1501
;"Martin";"Knauber";"FDP";1963;1502
;"Detlef";"Knauer";"GRÜNE";1958;1503
;"Daniel";"Knebel";"NPD";1984;1504
;"Peter Erich";"Knitsch";"GRÜNE";1960;1505
;"Matthias";"Knoche";"GRÜNE";1961;1506
;"Monika";"Knoche";"DIE LINKE";1954;1507
;"Rolf Bernhard";"Knocke";"DIE LINKE";1953;1508
;"Sieglinde";"Knöchner";"DIE LINKE";1953;1509
;"Axel";"Knoerig";"CDU";1967;1510
"Dr.";"Per";"Knöß";"FDP";1977;1511
;"Carmen";"Knollmann";"CDU";1956;1512
"Dr.";"Lutz";"Knopek";"FDP";1958;1513
;"Thorsten";"Knott";"FDP";1974;1514
;"Frank";"Knuffke";"NPD";1965;1515
;"Gerd";"Kobe";"REP";1948;1516
;"Pascal";"Kober";"FDP";1971;1517
;"Christian";"Koch";"PIRATEN";1971;1518
;"Harald";"Koch";"DIE LINKE";1954;1519
;"Helga";"Koch";"SPD";1956;1520
;"Torsten";"Koch";"GRÜNE";1967;1521
;"Ute Maria Christine";"Koczy";"GRÜNE";1961;1522
;"Heiko";"Köhler";"NPD";1974;1523
"Dr.";"Kristina";"Köhler";"CDU";1977;1524
;"Renate Erna";"Köhler";"DVU";1938;1525
;"Ulrich-Günther";"Koehler";"FDP";1954;1526
;"Werner";"Köhler";"GRÜNE";1955;1527
;"Annette";"Köhn";;1976;1528
;"Christian";"Kölle";"MLPD";1952;1529
;"Marion Monika Ingrid";"Köllner";"DIE LINKE";1952;1530
;"Werner";"Köllner";"DKP";1954;1531
;"Josef";"König";"FDP";1966;1532
;"Roland";"König";"FDP";1966;1533
;"Ulrich";"König";"PIRATEN";1981;1534
;"Thomas";"Koenigs";"GRÜNE";1944;1535
;"Hellmut Georg Richard";"Königshaus";"FDP";1950;1536
;"Wolf-Dieter";"Könnecke";;1966;1537
;"Christian";"Köpp";"GRÜNE";1986;1538
;"Daniel";"Köppen";"BüSo";1984;1539
;"Jens";"Koeppen";"CDU";1962;1540
;"Sebastian";"Körber";"FDP";1980;1541
;"Julia";"Koerlin";"SPD";1954;1542
;"Georg";"Körndl";"BüSo";1958;1543
;"Frank";"Körner";"NPD";1962;1544
;"Steve";"Körner";"PBC";1979;1545
;"Fritz Rudolf";"Körper";"SPD";1954;1546
;"Anton";"Köschinger";"DVU";1961;1547
;"Hamiyet";"Köse";"DIE LINKE";1960;1548
;"Michael";"Koesling";"FAMILIE";1976;1549
;"Stefan";"Köster";"NPD";1973;1550
;"Hans Henning";"Köster-Sollwedel";"DIE LINKE";1949;1551
;"Andrea";"Kötter";"SPD";1964;1552
;"Anja";"Kofbinger";"GRÜNE";1960;1553
"Dr.";"Bärbel";"Kofler";"SPD";1967;1554
;"Hauke";"Koglin";"NPD";1988;1555
;"Horst";"Kohl";"PBC";1944;1556
;"Hans August";"Kohle";"CDU";1935;1557
;"Sascha";"Kohlmann";"CDU";1975;1558
;"Manuela";"Kokott";"NPD";1968;1559
;"Mirco";"Kolarczik";"DIE LINKE";1984;1560
;"Christian";"Kolb";"GRÜNE";1966;1561
"Dr.";"Heinrich Leonhard";"Kolb";"FDP";1956;1562
;"Michael";"Kolb";"CDU";1974;1563
;"Anja";"Kolbe";"FDP";1980;1564
;"Daniela";"Kolbe";"SPD";1980;1565
;"Manfred Lothar";"Kolbe";"CDU";1953;1566
;"Alexander Ludwig";"Kolbeck";"FAMILIE";1965;1567
;"Dagmar Marie";"Kolkmann-Lutz";"MLPD";1953;1568
;"Ingo";"Kolmorgen";"GRÜNE";1972;1569
;"Cindy";"Kolter";"DIE LINKE";1973;1570
"Dr.";"Fred";"Konrad";"GRÜNE";1961;1571
;"Torsten";"Koplin";"DIE LINKE";1962;1572
;"Gudrun";"Kopp";"FDP";1950;1573
;"Walter Ernst Wolfgang";"Koppe";"DIE LINKE";1957;1574
;"Jürgen";"Koppelin";"FDP";1945;1575
;"Eva";"Korcian";"BP";1990;1576
;"Henrik";"Kordes";"MLPD";1948;1577
;"Patrick Alexander";"Korfmann";"REP";1980;1578
;"Ina";"Korntreff";"MLPD";1967;1579
;"Stefanie";"Korntreff";"MLPD";1986;1580
;"Jan";"Korte";"DIE LINKE";1977;1581
"Prof. Dr.";"Niels";"Korte";"CDU";1969;1582
;"Karin";"Kortmann";"SPD";1959;1583
;"Dietmar";"Koschmieder";"DKP";1955;1584
"Dr.";"Rolf";"Koschorrek";"CDU";1956;1585
;"Hartmut";"Koschyk";"CSU";1959;1586
;"Margot";"Kosmanek";"CDU";1933;1587
;"Heiko";"Kosow";"GRÜNE";1947;1588
;"Thoralf";"Koß";"GRÜNE";1964;1589
"Dr.";"Volker";"Koß";"GRÜNE";1949;1590
;"Philip";"Kossack";"GRÜNE";1989;1591
;"Thomas";"Kossendey";"CDU";1948;1592
;"Sylvia";"Kotting-Uhl";"GRÜNE";1952;1593
;"Emanuel";"Kotzian";"PIRATEN";1972;1594
;"Kordula";"Kovac";"CDU";1957;1595
;"Stephan-Gerhard";"Koziolek";"DIE LINKE";1968;1596
;"Stefan";"Krabbes";"GRÜNE";1987;1597
;"Martin";"Krämer";"NPD";1986;1598
;"Ulrike";"Kraemer-Schwinn";"DIE VIOLETTEN";1956;1599
;"Ursula";"Kraft";"CDU";1953;1600
;"Volker";"Kraft";"MLPD";1953;1601
;"Günter";"Krafzik";"PBC";1934;1602
;"Benjamin Manuel";"Kramer";"FDP";1978;1603
;"Klaus-Dieter";"Kramer";;1944;1604
;"Rolf";"Kramer";"SPD";1949;1605
;"Erich";"Krames";"NPD";1934;1606
;"Anette";"Kramme";"SPD";1967;1607
;"Ernst";"Kranz";"SPD";1950;1608
;"Matthias";"Kraume";"BüSo";1982;1609
;"Brian";"Krause";"GRÜNE";1972;1610
"Dr.";"Dietrich-Eckard";"Krause";"FDP";1941;1611
;"Hendrik";"Krause";"PIRATEN";1987;1612
;"Johannes";"Krause";"SPD";1958;1613
;"Ludwig";"Krause";"CM";1938;1614
;"Rainer Eckehard";"Krause";"FDP";1946;1615
;"Steffen";"Krause";"DVU";1976;1616
;"Arthur Wolfram";"Krauß";;1947;1617
