Wahltermin;Kandidatennummer;Titel;Nachname;Vorname;Jahrgang;Partei
22.09.2013;4319;;Winkler;Joseph Philip;1974;GRÜNE
22.09.2013;4320;;Winkler;Max;1946;FREIE WÄHLER
22.09.2013;4321;;Winkler;Wilhelm;1950;ÖDP
22.09.2013;4322;;Winner;Clemens;1966;VERNUNFT
22.09.2013;4323;;Winter;Maria;1966;SPD
22.09.2013;4324;;Winter;Susanna;1954;CDU
22.09.2013;4325;;Winter;Wolfgang Franz;1957;Bündnis21/RRP
22.09.2013;4326;Dr. ;Winterfeldt;Jörg;1976;GRÜNE
22.09.2013;4327;;Winters;Michael;1965;REP
22.09.2013;4328;;Winzberg;Thomas;1965;PIRATEN
22.09.2013;4329;;Winzen;Benedikt;1985;SPD
22.09.2013;4330;;Wirl;Olaf;1967;FREIE WÄHLER
22.09.2013;4331;;Wirth;Manfred;1941;REP
22.09.2013;4332;;Wirth;Thorsten;1968;PIRATEN
22.09.2013;4333;Dr. ;Wissing;Volker;1970;FDP
22.09.2013;4334;;Wißkirchen;Karl;1943;CDU
22.09.2013;4335;;Wißner;Kai Volker;1987;CDU
22.09.2013;4336;;Wittich;Wolfgang;1952;DIE LINKE
22.09.2013;4337;;Wittig;Heiko;1964;SPD
22.09.2013;4338;;Wittka;Hans-Georg;1944;Volksabstimmung
22.09.2013;4339;;Wittkamp;Rolf;1940;Bündnis21/RRP
22.09.2013;4340;;Wittkampf;Franz Josef;1949;ÖDP
22.09.2013;4341;;Wittke;Oliver;1966;CDU
22.09.2013;4342;;Witum;David;1983;PBC
22.09.2013;4343;Dr. ;Wleke;Ulrich;1958;AfD
22.09.2013;4344;;Wobig;Bernd Jürgen;1947;DIE LINKE
22.09.2013;4345;;Wöhrl;Dagmar Gabriele;1954;CSU
22.09.2013;4346;;Wöhrle;Florian;1977;FDP
22.09.2013;4347;;Wöhrle;Werner-Christian;1958;NPD
22.09.2013;4348;;Wöhrmann;Wolfgang;1952;MLPD
22.09.2013;4349;;Wölfel;Willi;1950;REP
22.09.2013;4350;;Wölfer;Sabine;1962;CDU
22.09.2013;4351;;Wöllert;Birgit Ottilie;1950;DIE LINKE
22.09.2013;4352;;Wöllstein;Werner;1960;FDP
22.09.2013;4353;;Wössner;Helga;1967;CDU
22.09.2013;4354;;Woest;Hans-Georg;1993;DIE LINKE
22.09.2013;4355;;Wohlfart;Adelheid Dorothea Rosemarie;1960;DIE FRAUEN
22.09.2013;4356;;Wohlfarth;Matthias;1954;AfD
22.09.2013;4357;;Woizik;Dieter;1934;Volksabstimmung
22.09.2013;4358;Dr. ;Wolber;Edith;1955;GRÜNE
22.09.2013;4359;Dr. ;Wolber;Mechthild;1971;FDP
22.09.2013;4360;;Wolf;Martin Josef;1962;FDP
